Disease,symptoms
Heart valve disease,heart valve disease might symptoms years when symptoms they might shortness breath rest when active lying down fatigue chest pain dizziness swelling ankles feet fainting irregular heartbeat
Heat exhaustion,cool moist skin goose bumps when heat heavy sweating faintness dizziness fatigue weak rapid pulse muscle cramps nausea headache
Heat rash,heat rash skin folds where clothing rubs skin infants rash mainly neck shoulders chest up armpits elbow creases groin eccrine sweat glands open directly onto skin's surface apocrine glands open into hair follicle surface skin apocrine glands areas hair follicles scalp armpits groin eccrine sweat glands involved hyperhidrosis apocrine glands play role well types heat rash classified according how deep sweat trapped skin signs symptoms vary mildest heat rash called miliaria crystallina when opening sweat duct surface skin sweat pore blocked marked tiny clear fluid-filled bumps break easily deeper skin called miliaria rubra called prickly heat signs symptoms small inflamed blister-like bumps itching prickling affected occasionally inflamed bumps miliaria rubra fill pus called miliaria pustulosa common heat rash called miliaria profunda affects deepest layer skin dermis firm painful itchy inflamed bumps goose bumps break open
Heatstroke,heatstroke symptoms high temperature core temperature 104 degrees fahrenheit 40 degrees celsius higher main sign heatstroke change mental state behavior confusion agitation slurred speech irritability delirium seizures coma heatstroke nausea vomiting heatstroke sick their stomach vomit flushed skin skin turn red temperature increases rapid breathing breathing rapid shallow headache heatstroke head throb
Liver hemangioma,cases liver hemangioma doesn't signs symptoms liver your largest internal organ size football it's located mainly upper right portion your abdomen beneath diaphragm above your stomach when liver hemangioma signs symptoms they these symptoms nonspecific instances else you liver hemangioma these tend asymptomatic pain upper right abdomen full eating only small amount food early satiety nausea vomiting
Intracranial hematoma,symptoms intracranial hematoma right head injury they weeks longer there period symptoms head injury called lucid interval headache worse vomiting drowsiness gradual loss consciousness dizziness confusion pupils sizes slurred speech loss movement known paralysis opposite head injury blood fills brain narrow space brain skull symptoms sleepy sluggish seizures loss consciousness sleepy sluggish seizures loss consciousness
Hemifacial spasm,common symptoms hemifacial spasm jerking muscles face face controllable painless these muscle movements called contractions start eyelid then they might move cheek mouth face hemifacial spasms come go months years they almost hemifacial spasms sides face twitching doesn't sides face
Hemolytic uremic syndrome (HUS),symptoms hemolytic uremic syndrome vary depending symptoms hemolytic uremic syndrome e coli bacteria might diarrhea bloody pain cramping bloating stomach fever vomiting forms hemolytic uremic syndrome damage blood vessels damage red blood cells break down called anemia condition blood clots blood vessels turn damage kidneys symptoms these changes loss color skin easy bruising unusual bleeding bleeding nose mouth decreased urinating blood urine swelling called edema legs feet ankles swelling face hands feet entire confusion seizures stroke
Hepatic encephalopathy,common symptoms hepatic encephalopathy trouble focusing paying attention knowing where you sleepiness trouble sleeping night memory loss confusion flapping tremor limbs personality mood changes slurred speech movement falling into acoma symptoms hepatic encephalopathy lower quality life ability function having chronic conditions hepatic encephalopathy daily life harder
Toxic hepatitis,yellowing skin whites eyes jaundice itching abdominal pain upper right portion abdomen fatigue loss appetite nausea vomiting rash fever weight loss dark tea-colored urine
Wilson's disease,wilson's disease birth symptoms don't copper levels build up brain liver eyes another organ symptoms vary based parts your disease affects these symptoms tiredness loss appetite yellowing skin whites eye known jaundice golden-brown copper-colored rings irises eyes known kayser-fleischer rings fluid buildup legs stomach problems speech swallowing physical coordination having hard falling asleep staying asleep uncontrolled movements muscle stiffness
Hepatopulmonary syndrome,there no symptoms hepatopulmonary syndrome there symptoms they shortness breath that's worse when sitting standing better when lying down clubbing fingers fingertips spread out rounder usual broken blood vessels skin called spider angioma bluish tinge lips skin white black brown lips tongue might light gray change color called cyanosis
Lynch syndrome,colon cancer age 50 cancer lining uterus endometrial cancer age 50 personal history cancer family history cancer age 50 family history cancers lynch syndrome stomach cancer ovarian cancer pancreatic cancer kidney cancer bladder cancer ureteral cancer brain cancer small bowel cancer gallbladder cancer bile duct cancer skin cancer
Inguinal hernia,inguinal hernias newborns weakness abdominal wall that's birth hernia visible only when infant crying coughing straining bowel movement he she might irritable appetite usual older hernia likely apparent when coughs strains bowel movement stands long period
High blood pressure (hypertension),headaches shortness breath nosebleeds
High blood pressure in children,your these signs symptoms seek emergency medical headaches seizures vomiting chest pains fast pounding fluttering heartbeat palpitations shortness breath
Secondary hypertension,no obesity
High cholesterol,high cholesterol no symptoms blood test only out you
Priapism,priapism symptoms vary depending priapism main types priapism ischemic priapism nonischemic priapism signs symptoms stuttering priapism called recurrent intermittent priapism ischemic priapism uncommon condition stuttering priapism describes repetitive episodes prolonged erections episodes ischemic priapism males who inherited disorder characterized abnormally shaped red blood cells sickle cell disease sickle cells block blood vessels penis cases condition starts off unwanted painful erections short duration might progress more-frequent more-prolonged erections stuttering priapism begin childhood signs symptoms rigid penile shaft tip penis glans soft progressively worsening penile pain erect fully rigid penile shaft painful
Hilar cholangiocarcinoma,hilar cholangiocarcinoma symptoms symptoms typically when cancer grows blocks bile ducts signs symptoms hilar cholangiocarcinoma yellowing skin whites eyes known jaundice itching dark urine clay-colored stools stomach pain fatigue weight loss appointment healthcare professional you symptoms worry you
Hip labral tear,hip labral tears no signs symptoms pain hip groin worse long periods standing sitting walking athletic activity locking clicking catching sensation hip joint stiffness limited range motion hip joint
Stye (sty),signs symptoms stye another condition inflammation eyelid chalazion chalazion when there's blockage small oil glands eyelashes unlike stye chalazion isn't painful tends prominent inner eyelid treatment conditions similar red lump your eyelid similar boil pimple eyelid pain eyelid swelling tearing
Hot flashes,hot flash might involve how hot flashes happen differs who hot flashes them daily hot flash last 1 5 minutes average who hot flashes them seven years them 10 years hot flashes mild they strong they disrupt daily activities they happen night nighttime hot flashes called night sweats wake you sleep long-term sleep loss sudden warmth spreading chest neck face skin flushed blotchy fast heartbeat sweating mostly upper chilled hot flash lets up
HPV infection,body's immune system defeats hpv infection creates warts types hpv produce warts genital warts penis scrotum anus genital warts rarely discomfort pain they might itch tender common warts grow hands fingers they're small grainy bumps rough touch they're flesh-colored white pink tan plantar warts virus warts hands fingers because where they they painful flat warts smaller smoother warts they generally face legs they're common teens hpv infections almost cervical cancers cervical cancer 20 years longer hpv infection hpv infection early cervical cancer typically don't symptoms getting vaccinated hpv infection best protect cervical cancer ages 30 65 advised keep having pap tests years pap test five years who hpv dna test 65 stop testing they've regular pap tests row hpv dna pap tests no irregular common warts rough raised bumps they hands fingers common warts simply attractive they painful it's easy them injured bleed plantar warts hard grainy growths heels balls feet these warts might discomfort flat warts flat-topped slightly raised sores called lesions they anywhere them face tend them beard tend them legs
Hydronephrosis,hydronephrosis no symptoms when symptoms happen they pain back travel lower stomach groin pain urination need urinate urgent happens upset stomach vomiting fever failure thrive infants weight loss loss appetite blood urine
Hypereosinophilic syndrome,early symptoms ofhesmay fatigue cough breathlessness muscle pain rash fever
Hyperglycemia in diabetes,fruity-smelling breath dry mouth abdominal pain nausea vomiting shortness breath confusion loss consciousness
Hyperoxaluria and oxalosis,sharp pain back lower stomach groin urine pink red brown blood frequent urge pee called urination pain when peeing being able urinate peeing only small amount chills fever upset stomach vomiting
Hyperthyroidism (overactive thyroid),hyperthyroidism problems hard diagnose symptoms losing weight trying fast heartbeat condition called tachycardia irregular heartbeat called arrhythmia pounding heart called heart palpitations increased hunger tremor small trembling hands fingers sweating changes menstrual cycles increased sensitivity heat changes bowel patterns especially more-frequent bowel movements enlarged thyroid gland called goiter swelling base neck tiredness muscle weakness sleep problems warm moist skin thinning skin fine brittle hair
Hypoglycemia,blood sugar levels too low hypoglycemia signs symptoms pale shakiness sweating headache hunger nausea irregular fast heartbeat fatigue difficulty concentrating dizziness lightheadedness tingling numbness lips tongue cheek hypoglycemia worsens signs symptoms confusion unusual behavior inability complete routine tasks loss coordination slurred speech blurry vision tunnel vision nightmares asleep severe hypoglycemia unresponsiveness loss consciousness seizures
Hyponatremia,hyponatremia signs symptoms nausea vomiting headache confusion loss energy drowsiness fatigue restlessness irritability muscle weakness spasms cramps seizures coma
Low blood pressure (hypotension),blurred fading vision dizzy lightheaded feelings fainting fatigue trouble concentrating upset stomach confusion especially older cold clammy skin decrease skin color called pallor rapid shallow breathing weak rapid pulse
Hypothyroidism (underactive thyroid),symptoms hypothyroidism depend severity condition problems tend slowly several years you barely notice symptoms hypothyroidism fatigue weight gain you think they getting older your metabolism continues slow you more-obvious problems hypothyroidism symptoms tiredness sensitivity cold constipation dry skin weight gain puffy face hoarse voice coarse hair skin muscle weakness muscle aches tenderness stiffness menstrual cycles heavier usual irregular thinning hair slowed heart rate called bradycardia memory problems
Inflammatory bowel disease (IBD),inflammatory bowel disease symptoms vary depending how bad inflammation where symptoms range mild severe withibdis likely periods active illness followed periods remission symptoms common crohn's disease ulcerative colitis diarrhea belly pain cramping blood stool loss appetite losing weight trying
Pseudotumor cerebri (idiopathic intracranial hypertension),pseudotumor cerebri signs symptoms might symptoms resolved recur months years later severe headaches might originate behind your eyes whooshing sound your head pulses your heartbeat nausea vomiting dizziness vision loss brief episodes blindness lasting few seconds affecting eyes difficulty double vision light flashes neck shoulder back pain
Immune thrombocytopenia (ITP),immune thrombocytopenia might symptoms when symptoms they might easy bruising bleeding into skin tiny reddish-purple spots known petechiae spots mostly up lower legs they rash bleeding into skin that's larger petechiae known purpura bleeding gums nose blood urine stools really heavy menstrual flow
Toe walking in children,toe walking walking toes ball foot
Impacted wisdom teeth,impacted wisdom teeth don't symptoms when impacted wisdom tooth infected damages teeth dental problems you these symptoms red swollen gums tender bleeding gums jaw pain swelling jaw bad breath unpleasant taste your mouth hard opening your mouth
Prediabetes,prediabetes doesn't signs symptoms possible sign prediabetes darkened skin certain parts affected areas neck armpits groin classic signs symptoms suggest you've moved prediabetes 2 diabetes increased thirst frequent urination increased hunger fatigue blurred vision numbness tingling feet hands frequent infections slow-healing sores unintended weight loss
Inherited metabolic disorders,there hundreds inherited metabolic disorders genes symptoms depend disorder how severe familial hypercholesterolemia gaucher disease hunter syndrome krabbe disease maple syrup urine disease metachromatic leukodystrophy mitochondrial encephalopathy lactic acidosis stroke-like episodes melas niemann-pick phenylketonuria pku porphyria tay-sachs disease wilson's disease
Infant jaundice,yellowing skin whites eyes main sign infant jaundice fourth birth
Infectious diseases,infectious disease its own specific symptoms illnesses share general symptoms fever faster heartbeat diarrhea tiredness called fatigue muscle aches coughing night sweats
Male infertility,main sign male infertility inability conceive there no obvious signs symptoms cases underlying problem inherited disorder hormonal imbalance dilated veins testicle condition blocks passage sperm signs symptoms signs symptoms you notice pain swelling lump testicle recurrent respiratory infections inability smell abnormal breast growth gynecomastia decreased facial hair signs chromosomal hormonal abnormality lower normal sperm count fewer 15 million sperm milliliter semen total sperm count 39 million ejaculate
Pancreatitis,symptoms pancreatitis vary acute pancreatitis symptoms pain upper belly pain upper belly radiates back tenderness when touching belly fever rapid pulse upset stomach vomiting chronic pancreatitis signs symptoms pain upper belly belly pain worse eating losing weight trying oily smelly stools chronic pancreatitis only symptoms they complications disease
Ingrown hair,signs symptoms ingrown hair small bumps blisters filled pus small bumps darker surrounding skin hyperpigmentation burning stinging itching hair shape loop because tip hair curves grows into skin
Ingrown toenails,ingrown toenail symptoms pain tenderness inflamed skin swelling infection
Intermittent explosive disorder,impulsive attacks angry outbursts suddenly little no warning they last 30 minutes these bouts separated weeks months verbal outbursts severe physical attacks these times you irritable impulsive aggressive angry aggressive bout you rage irritability tension energy racing thoughts tingling shaking fast pounding heartbeat chest tightness temper tantrums long angry speeches heated arguments shouting slapping shoving pushing physical fights property damage threatening harming animals you sense relief tiredness outburst later you guilty sorry your actions embarrassed
Intestinal ischemia,symptoms intestinal ischemia come quickly when happens condition called acute intestinal ischemia when symptoms come slowly condition called chronic intestinal ischemia symptoms differ certain symptoms suggest diagnosis intestinal ischemia
Whipple's disease,cases signs symptoms whipple disease brain nervous system neurological signs symptoms symptoms tend slowly years disease symptoms joint pain weight loss years digestive symptoms diagnosis fever cough enlarged lymph nodes chest pain difficulty walking vision problems lack control eye movements confusion memory loss
Intracranial venous malformations,intracranial venous malformations symptoms they accident brain imaging tests another condition intracranial venous malformation symptoms they headaches seizures dizziness nausea vomiting muscle weakness paralysis loss coordination vision troubles difficulty speaking memory problems
Intussusception,sign intussusception healthy infant sudden loud crying belly pain infants who belly pain pull their knees their chests when they cry pain intussusception comes goes 15 20 minutes these painful episodes last longer happen passes symptoms intussusception symptoms infants no obvious pain don't pass blood lump belly older pain no symptoms intussusception rare because symptoms disorder overlap symptoms disorders it's challenging identify common symptom belly pain comes goes nausea vomiting symptoms weeks seeking medical attention vomiting lump belly weakness lack energy diarrhea
Invasive lobular carcinoma,invasive lobular carcinoma no signs symptoms grows larger invasive lobular carcinoma fullness swelling breast newly inverted nipple thickening breast invasive lobular carcinoma likely firm distinct breast lump types breast cancer
Iritis,iritis eyes suddenly last up months signs symptoms iritis eye redness discomfort achiness affected eye sensitivity light decreased vision iritis suddenly hours days known acute iritis symptoms gradually last longer months indicate chronic iritis
Itchy skin (pruritus),itchy skin affect small areas scalp arm leg cover whole itchy skin noticeable changes skin come inflamed skin scratch marks bumps spots blisters dry cracked skin leathery scaly patches itchiness lasts long intense you rub scratch itchier itches you scratch breaking itch-scratch cycle difficult
Jet lag disorder,sleep problems being able fall asleep waking up early daytime fatigue being able focus function your usual level stomach problems constipation diarrhea general being well mood changes
Patellar tendinitis,pain symptom patellar tendinitis your kneecap where tendon attaches your shinbone tibia initially you only pain your knee you begin physical activity intense workout pain worsens starts interfere playing your sport eventually pain interferes daily movements climbing stairs rising chair patellar tendinitis pain patellar tendon runs kneecap patella shinbone tibia
Keloid scar,keloid scar months years inciting injury signs symptoms might thick irregular scarring typically earlobes shoulders cheeks middle chest shiny hairless lumpy raised skin varied size depending size original injury when keloid stops growing reddish brown purplish depending your skin color itchiness discomfort
Keratitis,symptoms keratitis eye redness eye pain difficulty opening your eyelid because pain irritation blurred vision decreased vision sensitivity light called photophobia your eye
Kidney infection,symptoms kidney infection might fever chills burning pain when urinating having urinate strong lasting urge urinate back groin pain nausea vomiting pus blood urine urine smells bad cloudy belly pain
Lobular carcinoma in situ (LCIS),lobular carcinoma situ doesn't signs symptoms it's procedure remove breast tissue breast biopsy lumpectomy lobular carcinoma situ called lcis isn't cancer it's sign you increased risk breast cancer future
Left ventricular hypertrophy,left ventricular hypertrophy gradually symptoms especially early stages condition left ventricular hypertrophy itself doesn't symptoms symptoms strain heart worsens they shortness breath especially lying down swelling legs sensation rapid fluttering pounding heartbeats called palpitations fainting lightheadedness
Legionnaires' disease,legionnaires disease starts 2 10 days contact legionella bacteria begins symptoms symptoms start legionnaires disease mostly involves lungs infections sores parts heart mild legionnaires disease called pontiac fever fever chills headache muscle aches pontiac fever doesn't infect lungs symptoms clear headache muscle aches fever 104 fahrenheit 40 celsius higher cough might bring up mucus blood shortness breath chest pain nausea vomiting diarrhea confusion mental changes
Leiomyosarcoma,leiomyosarcoma might signs symptoms cancer grows symptoms pain weight loss nausea vomiting lump swelling skin
Lice,common signs symptoms lice intense itchingon scalp genital tickling feelingfrom movement hair presence lice your scalp clothing pubic hair lice size sesame seed slightly larger lice eggs nits hair shafts nits difficult because they're tiny they're easiest spot ears nape neck nits mistaken dandruff unlike dandruff they can't easily brushed out hair sores scalp neck shoulders scratching small red bumps infected bacteria bite marks especially waist groin upper thighs pubic
Oral lichen planus,symptoms oral lichen planus affect mucous membranes mouth
Lichen sclerosus,it's possible mild lichen sclerosus no symptoms when symptoms they affect skin genital anal areas back shoulders upper arms breasts affected symptoms smooth discolored skin patches blotchy wrinkled skin patches itching soreness burning easy bruising fragile skin changes tube urine flow urethra bleeding blistering open sores
Lip cancer,signs symptoms lip cancer flat slightly raised whitish discoloration lip sore your lip won't heal tingling pain numbness lips skin mouth
Lipoma,lipomas anywhere they they commonly areas neck shoulders back abdomen arms thighs lipomas typically 1 2 inches 3 5 centimeters diameter they grow
Liposarcoma,liposarcoma symptoms depend where cancer forms liposarcoma arms legs growing lump tissue skin pain swelling weakness affected limb liposarcoma belly called abdomen abdominal pain abdominal swelling full sooner when eating constipation blood stool
Listeria infection,pregnancy listeria infection likely only mild symptoms pregnant effects baby devastating baby die womb life-threatening infection few days birth symptoms listeria infection newborn subtle they little interest feeding crankiness high temperature called fever low temperature called hypothermia vomiting trouble breathing little no energy low birth weight
Morphea,signs symptoms morphea vary depending stage condition they reddish purplish oval patches skin belly chest back patches gradually lighter whitish center linear patches especially arms legs possibly forehead scalp gradual change affected skin firm thickened dry shiny morphea affects skin underlying tissue bone condition generally lasts several years then improves times disappears itself leave scars areas darkened discolored skin possible morphea recur
Long QT syndrome,common symptom long qt syndrome fainting called syncope fainting spell fromlqtscan happen little no warning fainting happens long qt syndrome might symptoms blurred vision lightheadedness pounding heartbeats called palpitations weakness long qt syndrome seizures babies born withlqtsmay symptoms weeks months life symptoms start later childhood born withlqtshave symptoms age 40 symptoms long qt syndrome happen sleep long qt syndrome lqts notice symptoms disorder heart test called electrocardiogram discovered when genetic tests done reasons
Low sperm count,main symptom low sperm count being able start pregnancy there might no clear symptoms underlying condition low sperm count symptoms depending condition these symptoms pain swelling lump testicle facial hair symptoms chromosome hormone condition
Male hypogonadism,hypogonadism begin fetal development puberty adulthood signs symptoms depend when condition male hypogonadism delay puberty incomplete lack normal development hamper males hypogonadism alter certain masculine physical characteristics impair normal reproductive function early signs symptoms might hypogonadism severe hypogonadism mental emotional changes testosterone decreases symptoms similar those menopause these your you symptoms male hypogonadism hypogonadism important step getting appropriate treatment female genitals genitals clearly male clearly female ambiguous genitals underdeveloped male genitals development muscle mass voice deepening growth facial hair growth penis testicles development breast tissue gynecomastia decreased energy erectile dysfunction infertility decrease hair growth face decrease muscle mass development breast tissue gynecomastia loss bone mass osteoporosis difficulty concentrating hot flashes
Lupus,fatigue fever joint pain stiffness swelling butterfly-shaped rash face covers cheeks bridge nose rashes elsewhere shortness breath chest pain dry eyes headaches confusion memory loss
Lymphedema,lymphedema signs symptoms swelling arm leg fingers toes heaviness tightness restricted range motion recurring infections hardening thickening skin fibrosis signs symptoms range mild severe lymphedema cancer treatment months years treatment
Lymphoma,signs symptoms lymphoma fever night sweats fatigue itchy skin painless swelling lymph nodes belly neck armpits groin pain chest abdomen bones losing weight trying
Undifferentiated pleomorphic sarcoma,undifferentiated pleomorphic sarcoma symptoms depend where cancer happens arms legs happen anywhere signs symptoms growing lump swelling grows large there pain tingling numbness arm leg there swelling hand foot affected limb abdomen there pain loss appetite constipation fever weight loss
Malignant peripheral nerve sheath tumors,malignant peripheral nerve sheath tumors symptoms worse quickly symptoms pain where tumor growing weakness when trying move tumor growing lump tissue skin
Mammary duct ectasia,bacterial infection called mastitis affected milk duct causing breast tenderness inflammation nipple areola fever signs symptoms mammary duct ectasia improve their own nipple that's been turned inward inverted isn't medical concern nipple recently turned inward checked dirty white greenish black nipple discharge nipples tenderness nipple surrounding breast tissue areola redness nipple areolar tissue breast lump thickening clogged duct nipple that's turned inward inverted
MCAD deficiency,mcaddeficiency identified babies young rare cases disorder diagnosed adulthood symptoms vary mcad deficiency they vomiting low no energy weak low blood sugar sudden severe episode called metabolic crisis going too long eating missing meals common infections high fever ongoing stomach digestive problems vomiting diarrhea
Myelodysplastic syndromes,myelodysplastic syndromes might fatigue shortness breath unusual paleness pallor low red blood cell count anemia easy unusual bruising bleeding low blood platelet count thrombocytopenia pinpoint-sized red spots beneath skin bleeding petechiae frequent infections low white blood cell count leukopenia
Medication overuse headaches,symptoms medication overuse headaches depend headache being treated medicine medication overuse headaches tend happen nearly these headaches wake sleep improve pain medicine then return medicine wears off symptoms nausea restlessness trouble concentrating memory problems irritability
Medulloblastoma,dizziness double vision headaches nausea poor coordination tiredness unsteady walk vomiting
"Multiple endocrine neoplasia, type 2 (MEN 2)",symptoms ofmen 2depend tumor who havemen 2bhave unique appearance they bumps tongue lips eyes they tend tall thin long arms legs symptoms related tumor medullary thyroid cancer lumps throat neck trouble breathing swallowing hoarseness diarrhea parathyroid hyperplasia known primary hyperparathyroidism muscle joint pain constipation fatigue memory problems kidney stones adrenal tumors known pheochromocytoma rapid heart rate headaches
Meniere's disease,symptoms meniere's disease regular dizzy spells you spinning starts stops suddenly vertigo start warning lasts 20 minutes 12 hours 24 hours serious vertigo nausea hearing loss hearing loss meniere's disease come go especially early hearing loss long-lasting better ringing ear ringing ear called tinnitus tinnitus term when you ringing buzzing roaring whistling hissing sound your ear vertigo attack symptoms better might go how vertigo attacks you lessen
Meningioma,symptoms meningioma begin slowly they hard notice symptoms depend where brain meningioma rarely spine symptoms changes vision double blurring headaches worse morning hearing loss ringing ears memory loss loss smell seizures weakness arms legs trouble speaking
Torn meniscus,you've torn your meniscus might 24 hours pain swelling begin especially tear small you might signs symptoms your knee popping sensation swelling stiffness pain especially when twisting rotating your knee difficulty straightening your knee fully your knee locked when you try move your knee giving
Mental illness,signs symptoms mental illness vary depending disorder circumstances factors mental illness symptoms affect emotions thoughts behaviors sad down confused thinking reduced ability concentrate withdrawal friends activities significant tiredness low energy problems sleeping detachment reality delusions paranoia hallucinations inability cope daily problems stress trouble understanding relating situations problems alcohol drug major changes eating habits suicidal thinking
Metastatic prostate cancer,metastatic prostate cancer doesn't symptoms cancer grows advanced symptoms might happen signs symptoms metastatic prostate cancer tired having urinate pain when urinating losing weight trying nausea vomiting pain might back hips pelvic bone pain tends worse
Metatarsalgia,symptoms metatarsalgia ball foot ball sole behind toes numbness tingling toes having pebble shoe affected foot
MRSA infection,staph skin infections includingmrsa generally start swollen painful red bumps might pimples spider bites affected might infections start out small red bumps quickly turn into deep painful abscesses these red bumps quickly turn into deep painful boils abscesses require surgical draining bacteria remain confined skin they burrow deep into causing potentially life-threatening infections bones joints surgical wounds bloodstream heart valves lungs warm touch full pus drainage accompanied fever
Myxofibrosarcoma,painless lump arm leg lump grows slowly
Monoclonal gammopathy of undetermined significance (MGUS),monoclonal gammopathy don't symptoms rash nerve problems numbness tingling blood test another condition might findmgusby chance
Migraine with aura,who migraine aura temporary visual signs symptoms tend start center field vision spread outward these might blind spots scotomas outlined simple geometric designs zigzag lines gradually float your field vision shimmering spots stars changes vision vision loss flashes light
Mild cognitive impairment (MCI),mci symptoms forgetting losing their train thought plot book movie trouble conversation trouble right word language hard decisions finish task follow instructions trouble their places they know well poor judgment changes noticed family friends short temper aggression lack interest
Mitral valve disease,mitral valve disease might symptoms years symptoms mitral valve disease fatigue irregular heartbeat shortness breath
Mitral valve stenosis,mitral valve stenosis worsens slowly you symptoms you mild ones years symptoms mitral valve stenosis age childhood symptoms mitral valve stenosis shortness breath especially activity when you lie down fatigue especially increased activity swollen feet legs pounding skipping irregular heartbeats called arrhythmias dizziness fainting fluid buildup lungs chest discomfort chest pain coughing up blood
Mixed connective tissue disease,increased fatigue mild fever response cold stress your fingers toes might turn white then purplish blue warming fingers toes turn red swelling fingers joints inflamed swollen deformed similar what rheumatoid arthritis red reddish brown patches knuckles
Myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD),mogadcauses painful swelling known inflammation symptoms attacks inflammation optic nerve called optic neuritis condition vision loss eyes eye pain worse eye movement optic neuritis mistaken headache inflammation brain spinal cord called acute disseminated encephalomyelitis known adem condition vision loss weakness unsteady walk confusion ademis common withmogad symptoms ofmogadmay seizures headaches fever
Molar pregnancy,molar pregnancy regular pregnancy molar pregnancies symptoms dark brown bright red bleeding vagina months severe nausea vomiting grapelike cysts pass vagina because improved ways detecting molar pregnancy trimester months symptoms molar pregnancy might uterus growing quickly being too large early pregnancy ovarian cysts overactive thyroid known hyperthyroidism
Moles,typical mole small brown spot moles come colors shapes sizes shape moles oval round size moles typically 1 4 inch 6 mm diameter size pencil eraser those birth known congenital nevi bigger cover face trunk limb moles grow anywhere your your scalp armpits well your nails your fingers toes 10 45 moles these moles age 40 moles change fade they darker larger hormonal changes teenage years pregnant
Mood disorders,symptoms depend mood disorder affect your ability focus function loss pleasure activities affect your energy level quality life you worthless guilty affect how you eat sleep raise thoughts suicide bipolar disorders feature top world superior others you're strong harm change you racing thoughts increased energy disrupted sleep decreased need sleep continued high energy level impulsive behaviors you easily distracted likely think suicide plan suicide depending seriousness symptoms types mood disorders symptoms
Morton's neuroma,you're standing pebble your shoe burning pain ball your foot radiate into your toes tingling numbness your toes addition these symptoms you removing your shoe rubbing your foot helps relieve pain
Mosquito bites,mosquito bites happen parts aren't covered clothing symptoms itchy inflamed bump forms few minutes bite painful spot hive forms 24 hours bite small blisters severe reaction mosquito bites large swollen inflamed hive-like rash swelling eyes likely severe reaction
Movement disorders,symptoms movement disorders vary depending disorder common types movement disorders their symptoms dystonia condition involves involuntary muscle contractions twisting irregular postures movements dystonia affect entire common dystonia cervical dystonia cervical dystonia neck muscles contract involuntarily head pull tilt forward backward head shake known tremor functional movement disorder condition movement disorders it's disease nervous system known neurological disease functional movement disorders treatable myoclonus myoclonus quick jerks muscle parkinson's disease parkinson's disease tremors muscle stiffness slow decreased movement loss balance symptoms related movement these symptoms reduced sense smell constipation acting out dreams decline thinking skills parkinson's disease slowly worse parkinsonism parkinsonism general term slowness movement stiffness tremors loss balance there parkinson's disease certain dopamine blocking medicines common degenerative disorders multiple system atrophy progressive supranuclear palsy stroke repeated head trauma parkinsonism progressive supranuclear palsy rare nervous system condition problems walking balance eye movements resemble parkinson's disease distinct condition tardive dyskinesia neurological condition long-term certain medicines treat mental conditions called neuroleptic medicines common gastrointestinal medicine called metoclopramide reglan gimoti tardive dyskinesia involuntary movements symptoms grimacing eye blinking movements tourette syndrome neurological condition associated repetitive movements vocal sounds called tics tics voluntary movements they're involuntary urge movements tourette syndrome starts childhood teenage years tremor movement disorder rhythmic shaking parts hands head parts common essential tremor
Multiple system atrophy,multiple system atrophy msa symptoms affect parts symptoms start adulthood 50s 60s there types msa parkinsonian cerebellar depends symptoms when diagnosed
"Multiple endocrine neoplasia, type 1 (MEN 1)",symptoms multiple endocrine neoplasia 1 1 tiredness bone pain broken bones kidney stones ulcers stomach intestines stomach pain muscle weakness frequent diarrhea symptoms release too hormones
Muscle strains,signs symptoms vary depending severity injury pain tenderness redness bruising limited motion muscle spasms swelling muscle weakness
Myoclonus,myoclonus describe their symptoms jerks shakes spasms sudden brief involuntary shock-like variable intensity frequency severe enough interfere eating speaking walking
Myofascial pain syndrome,symptoms myofascial pain syndrome deep aching pain muscle pain doesn't go worse tender knot muscle trouble sleeping pain general being well called malaise tiredness
Nasal and paranasal tumors,signs symptoms nasal paranasal tumors difficulty breathing nose frequent headaches loss sense smell nosebleeds discharge nose facial swelling pain watery eyes sore roof mouth vision problems lump neck difficulty opening mouth
Nephrogenic systemic fibrosis,swelling tightening skin reddened darkened patches skin thickening hardening skin typically arms legs almost face head skin woody orange-peel appearance burning itching severe sharp pains areas involvement rarely blisters ulcers involvement muscles organs muscle weakness limitation joint motion muscle tightening contractures arms hands legs feet bone pain particularly hip bones ribs reduced internal organ function heart lung diaphragm gastrointestinal tract liver yellow plaques white surface sclera eyes condition generally long term chronic improve few severe disability death
Postherpetic neuralgia,general symptoms postherpetic neuralgia limited skin where shingles outbreak happened that's commonly band trunk symptoms might pain lasts months longerafter shingles rash healed pain burning sharp jabbing deep aching being able stand light touch postherpetic neuralgia can't bear touch clothing affected skin itching loss postherpetic neuralgia itchy numbness
Schwannomatosis,schwannomatosis symptoms depend
Vasovagal syncope,change skin color lightheadedness tunnel vision your field vision narrows you only what's front you upset stomach warm cold clammy sweat blurred vision vasovagal syncope episode you notice jerky movements slow weak pulse dilated pupils recovery vasovagal episode generally begins minute you stand up too soon fainting 15 30 minutes you're risk fainting
Neuroendocrine tumors,general neuroendocrine tumor signs symptoms might pain growing tumor growing lump you skin unusually tired losing weight trying skin flushing diarrhea frequent urination increased thirst dizziness shakiness skin rash
