Disease Name,Symptoms
Strabismus,Symptoms of strabismus may be present all the time or may come and go. Symptoms can include:; It is important to note that children may never be aware of double vision. This is because amblyopia can develop quickly.; Crossed eyes; Double vision; Eyes that do not aim in the same direction; Uncoordinated eye movements (eyes do not move together); Loss of vision or depth perception
Uveitis,"Uveitis can affect one or both eyes. Symptoms depend on which part of the uvea is inflamed. Symptoms may develop rapidly and can include:; Blurred vision; Dark, floating spots in the vision; Eye pain; Redness of the eye; Sensitivity to light"
Chalazion,"A chalazion often develops following an internal hordeolum (also called a stye). The eyelid most often becomes tender, red, swollen and warm. Sometimes, the blocked gland causing the stye will not drain even though the redness and swelling go away. The gland will form a firm nodule in the eyelid that is not tender. This is called a chalazion."
Ectropion,"Symptoms include:; If you have ectropion, you will most likely have excess tearing. This happens because the eye gets dry, then makes more tears. The excess tears can't get into the tear drainage duct. Therefore, they build up inside the lower lid and then spill over the edge of the lid onto the cheek.; Dry, painful eyes; Excess tearing of the eye (epiphora); Eyelid turns outward (downward); Long-term (chronic) conjunctivitis; Keratitis; Redness of the lid and white part of the eye"
Entropion,Symptoms include:; Decreased vision if the cornea is damaged; Excessive tearing; Eye discomfort or pain; Eye irritation; Redness
Eyelid bump,"In addition to the red, swollen bump, other possible symptoms of a stye include:; A gritty, scratchy sensation, as if there is a foreign body in your eye; Sensitivity to light; Tearing of your eye; Tenderness of the eyelid"
Conjunctivitis or pink eye,Symptoms include:; Blurred vision; Crusts that form on the eyelid overnight (most often caused by bacteria); Eye pain; Gritty feeling in the eyes; Increased tearing; Itching of the eye; Redness in the eyes; Sensitivity to light
Pterygium,"The main symptom of a pterygium is a painless area of raised white tissue that has blood vessels on the inner or outer edge of the cornea. Sometimes the pterygium has no symptoms. However, it may become inflamed and cause burning, irritation, or a feeling like there's something foreign in the eye. Vision may be affected if the growth extends far enough onto the cornea."
Orbital cellulitis,"Symptoms may include:; Painful swelling of upper and lower eyelid, and possibly the eyebrow and cheek; Bulging eyes; Decreased vision; Pain when moving the eye; Fever, often 102Â°F (38.8Â°C) or higher; General ill feeling; Difficulty with eye movements; Double vision; Shiny, red or purple eyelid"
Keratoconus,"The earliest symptom is a slight blurring of vision that cannot be corrected with glasses. (Vision can most often be corrected to 20/20 with rigid, gas-permeable contact lenses.) Over time, you may see halos, have glare, or other night vision problems.; Most people who develop keratoconus have a history of being nearsighted. The nearsightedness tends to become worse over time. As the problem gets worse, astigmatism develops and may worsen over time.; Keratoconus is often discovered during the teenage years. It may also develop in older people."
Amblyopia,Symptoms of the condition include:; Eyes that turn in or out; Eyes that do not appear to work together; Inability to judge depth correctly; Poor vision in one eye
Astigmatism,"Astigmatism makes it hard to see fine details, either close up or from a distance."
Blocked tear duct,"The main symptom is increased tearing (epiphora), which causes tears to overflow onto the face or cheek. In babies, this tearing becomes noticeable during the first 2Â to 3 weeks after birth.; Sometimes, the tears may appear to be thicker. The tears may dry and become crusty.; If there is pus in the eyes or the eyelids get stuck together, your baby may have an eye infection called conjunctivitis."
Corneal injury,Symptoms include:; Blurred vision; Eye pain or stinging and burning in the eye; Feeling like something is in your eye (may be caused by a scratch or something in your eye); Light sensitivity; Redness of the eye; Swollen eyelids; Watery eyes or increased tearing
Eyelid drooping,"Drooping may be present in one or both eyelids depending on the cause. The lid may cover only the upper eye, or the entire pupil may be covered.; Problems with vision will often be present:; Increased tearing despite a feeling of dry eyes may be noticed.; At first, just a sense that the very upper field of vision is being blocked.; When the drooping eyelid covers the pupil of the eye, vision may become completely blocked.; Children may tip their head back to help them see under the eyelid.; Tiredness and achiness around the eyes may also be present."
Episcleritis,Symptoms include:; A pink or purple color to the normally white part of the eye; Eye pain; Eye tenderness; Sensitivity to light; Tearing of the eye
Farsightedness,"Symptoms include:; Mild farsightedness may not cause any problems. However, you may need reading glasses sooner than people who do not have this condition.; Aching eyes; Blurred vision when looking at close objects; Crossed eyes (strabismus) in some children; Eye strain; Headache while reading"
Hyphema,"Symptoms include:; You may not be able to see a small hyphema when looking at your eye in the mirror. With a total hyphema, the collection of blood will block the view of the iris and pupil.; Bleeding in the anterior chamber of the eye; Eye pain; Light sensitivity; Vision abnormalities"
Melanoma of the eye,"Symptoms of melanoma of the eye may include any of the following:; In some cases, there may be no symptoms.; Bulging eyes; Change in iris color; Poor vision in one eye; Red, painful eye; Small defect on the iris or conjunctiva"
Nearsightedness,"A nearsighted person sees close-up objects clearly, but objects in the distance are blurred. Squinting will tend to make far away objects seem clearer.; Nearsightedness is often first noticed in school-aged children or teenagers. Children often cannot read the blackboard, but they can easily read a book.; Nearsightedness gets worse during the growth years. People who are nearsighted may need to change glasses or contact lenses often. Nearsightedness most often stops progressing as a person stops growing in his or her early twenties.; Other symptoms may include:; Eyestrain; Headaches (uncommon)"
Optic glioma,"The symptoms are due to the tumor growing and pressing on the optic nerve and nearby structures. Symptoms may include:; The child may show symptoms of diencephalic syndrome, which includes:; Involuntary eyeball movement; Outward bulging of one or both eyes; Squinting; Vision loss in one or both eyes that starts with the loss of peripheral vision and eventually leads to blindness; Daytime sleeping; Decreased memory and brain function; Headaches; Delayed growth; Loss of body fat; Vomiting"
Pinguecula,"A pingueculum looks like a small, yellowish bump on the conjunctiva near the cornea. It can appear on either side of the cornea. However, it more often occurs on the nose (nasal) side. The growth may increase in size, but usually over many years."
Presbyopia,Symptoms include:; Decreased focusing ability for near objects; Eyestrain; Headache
Retinal detachment,"Symptoms of detached retina can include:; There is usually no pain in or around the eye.; Bright flashes of light, especially in peripheral vision.; Blurred vision.; New floaters in the eye that appear suddenly.; Shadowing or decreased peripheral vision that seems like a curtain or shade across your vision."
Retinal artery occlusion,"Sudden blurring or loss of vision may occur in:; The retinal artery occlusion may last for only a few seconds or minutes, or it may be permanent.; A blood clot in the eye may be a warning sign of clots elsewhere. A clot in the brain may cause a stroke.; All of one eye (central retinal artery occlusion or CRAO); Part of one eye (branch retinal artery occlusion or BRAO)"
Retinitis pigmentosa,"Symptoms often first appear in childhood. However, severe vision problems do not often develop before early adulthood.; Decreased vision at night or in low light. Early signs may include having a harder time moving around in the dark.; Loss of side (peripheral) vision, causing ""tunnel vision.""; Loss of central vision (in advanced cases). This will affect the ability to read.; Loss of color vision; Sensitivity to bright light"
Retinoblastoma,"One or both eyes may be affected.; The pupil of the eye may appear white or have white spots. A white glow in the eye is often seen in photographs taken with a flash. Instead of the typical ""red eye"" from the flash, the pupil may appear white or distorted.; Other symptoms may include:; If the cancer has spread, bone pain and other symptoms may occur.; Crossed eyesÂ (strabismus); Double vision; Eyes that do not align; Eye pain and redness; Poor vision; Differing iris colors in each eye"
Allergic conjunctivitis,"Symptoms may be seasonal and can include:; Intense itching or burning eyes; Puffy eyelids, most often in the morning; Red eyes; Stringy eye discharge; Tearing (watery eyes); Widened blood vessels in the clear tissue covering the white of the eye"
Corneal ulcers and infections,Symptoms of infections or ulcers of the cornea include:; Blurry or hazy vision; Eye that appears red or bloodshot; Itching and discharge; Sensitivity to light (photophobia); Very painful and watery eyes; White patch on the cornea
Benign ear cyst or tumor,"The symptoms of cysts include:; The symptoms of benign tumors include:; Note: There may be no symptoms.; Pain (if cysts are in the outside ear canal or if they get infected); Small soft skin lumps on, behind, or in front of the ear; Ear discomfort; Gradual hearing loss inÂ one ear; Repeated outer ear infections"
Mastoiditis,"Symptoms include:; Drainage from the ear; Ear pain or discomfort; Fever, may be high or suddenly increase; Headache; Hearing loss; Redness of the ear or behind the ear; Swelling behind the ear, may cause ear to stick out or feel as if it is filled with fluid"
Oral cancer,"Oral cancer can appear as a lump or ulcer in the mouth that may be:; Other symptoms may include::; A deep, hard-edged crack in the tissue; Pale, dark red, or discolored; On the tongue, lip, or other area of the mouth; Painless at first, then a burning sensation or pain when the tumor is more advanced; Chewing problems; Mouth sores that may bleed; Pain with swallowing; Speech difficulties; Swallowing difficulty; Swollen lymph nodes in the neck; Tongue problems; Weight loss; Difficulty opening the mouth; Numbness and loosening of teeth; Bad breath"
Otosclerosis,"Symptoms include:; Hearing loss (slow at first, but worsens over time); Ringing in the affected ear (tinnitus); Vertigo or dizziness"
Rhinophyma,"Symptoms include changes in the nose, such as:; Bulb-like (bulbous) shape; Many oil glands; Reddish color (possible); Thickening of the skin; Waxy, yellow surface"
Ruptured eardrum,"Ear pain may suddenly decrease right after your eardrum ruptures.; After the rupture, you may have:; Drainage from the ear (drainage may be clear, pus, or bloody); Ear noise/buzzingÂ (tinnitus); Earache or ear discomfort; Hearing loss in the involved ear (hearing loss may not be total); Weakness of the face, or dizziness (in severe cases)"
Salivary duct stones,Symptoms include:; The symptoms occur most often when eating or drinking.; Problems opening the mouth or swallowing; Dry mouth; Pain in the face or mouth; Swelling of the face or neck (can be severe when eating or drinking)
Salivary gland tumors,"Symptoms may include any of the following:Â; Firm, usually painless swelling in one of the salivary glands (in front of the ears, under the chin, or on the floor of the mouth). The swelling gradually increases.; Difficulty moving one side of the face, known as facial nerve palsy."
Salivary gland infections,"Symptoms include:; Abnormal tastes, foul tastes; Decreased ability to open the mouth; Dry mouth; Fever; Mouth or facial ""squeezing"" pain, especially when eating; Redness over the side of the face or the upper neck; Swelling of the face (particularly in front of the ears, below the jaw, or on the floor of the mouth)"
Throat or larynx cancer,"Symptoms of throat cancer include any of the following:; Abnormal (high-pitched) breathing sounds; Cough; Coughing up blood; Difficulty swallowing; Hoarseness that does not get better in 3 to 4 weeks; Neck or ear pain; Sore throat that does not get better in 2 to 3 weeks, even with antibiotics; Swelling or lumps in the neck; Weight loss not due to dieting"
Tonsillitis,"Common symptoms may be:; Other problems or symptoms that may occur are:; Difficulty swallowing; Ear pain; Fever and chills; Headache; Sore throat, which lasts longer than 48 hours and may be severe; Tenderness of the jaw and throat; Problems breathing, if the tonsils are very large; Problems eating or drinking"
Trench mouth,Symptoms of trench mouth often begin suddenly. They include:; Bad breath; Crater-like ulcers between the teeth; Fever; Foul taste in the mouth; Gums appear red and swollen; Grayish film on the gums; Painful gums; Severe gum bleeding in response to any pressure or irritation
Age-related hearing loss,"Loss of hearing often occurs slowly over time.; Symptoms include:; Talk to your health care provider if you have any of these symptoms.; Difficulty hearing people around you; Having to raise the volume on the TV; Frequently asking people to repeat themselves; Frustration at not being able to hear; Certain sounds seeming overly loud; Problems hearing in noisy areas; Problems telling apart certain sounds, such as ""s"" or ""th""; More difficulty understanding people with higher-pitched voices; Ringing in the ears"
Leukoplakia,"Patches in the mouth usually develop on the tongue (sides of the tongue with oral hairy leukoplakia) and on the insides of the cheeks.; Leukoplakia patches are:; Most often white or gray; Uneven in shape; Fuzzy (oral hairy leukoplakia); Slightly raised, with a hard surface; Unable to be scraped off; Painful when the mouth patches come into contact with acidic or spicy food"
Ludwig angina,"The infected area swells quickly. This may block the airway or prevent you from swallowing saliva.; Symptoms include:; Other symptoms that may occur with this disease:; Breathing difficulty; Difficulty swallowing; Drooling; Unusual speech (sounds like the person has a ""hot potato"" in the mouth); Tongue swelling or protrusion of the tongue out of the mouth; Fever; Neck pain; Tooth pain; Neck swelling; Redness of the neck; Weakness, fatigue, excess tiredness; Confusion or other mental changes; Earache"
Occupational hearing loss,The main symptom is partial or complete hearing loss. The hearing loss will likely get worse over time with continued exposure.; Noise in the ear (tinnitus) may accompany hearing loss.
Geographic tongue,"Symptoms include:; Map-like appearance to the surface of the tongue; Patches that move from day to day; Smooth, red patches and sores (lesions) on the tongue; Soreness and burning pain (in some cases)"
Cholesteatoma,"Symptoms include:; Dizziness; Drainage from the ear, which can be chronic; Hearing loss in one ear; Sensation of ear fullness or pressure"
Cleft lip and palate,A child may have one or more birth defects and the severity can vary significantly.; A cleft lip may be just a small notch in the lip. It may also be a complete split in the lip that goes all the way to the base of the nose.; A cleft palate can be on one or both sides of the roof of the mouth. It may go the full length of the palate.; Other symptoms include:; Problems that may be present because of a cleft lip or palate are:; Change in nose shape (how much the shape changes varies); Poorly aligned teeth; Failure to gain weight; Feeding problems; Flow of milk through nasal passages during feeding; Poor growth; Repeated ear infections; Speech difficulties
Gingivostomatitis,"The symptoms can be mild or severe and may include:; Bad breath; Fever; General discomfort, uneasiness, or ill feeling (malaise); Sores on the inside of the cheeks or gums; Very sore mouth with no desire to eat"
Glossitis,"Symptoms of glossitis may come on quickly or develop over time. They include:; Rare symptoms or problems include:; Problems chewing, swallowing, or speaking; Smooth surface of the tongue; Sore, tender, or swollen tongue; Pale or bright red color to the tongue; Blocked airway; Problems speaking, chewing, or swallowing"
Labyrinthitis,"Symptoms may include any of the following:; Feeling like you are spinning, even when you are still (vertigo).; Your eyes moving on their own, making it hard to focus them.; Dizziness.; Hearing loss in one ear.; Loss of balance -- you may fall toward one side.; Nausea and vomiting.; Ringing or other noises in your ears (tinnitus)."
Dental cavities,"There may be no symptoms. If symptoms occur, they may include:; Tooth pain or achy feeling, particularly after sweet or hot or cold foods and drinks; Visible pits or holes in the teeth"
Gingivitis,"Symptoms of gingivitis include:; Bleeding gums (when brushing or flossing); Bright red or reddish-purple gums; Gums that are tender when touched, but otherwise painless; Mouth sores; Swollen gums; Shiny appearance to gums; Bad breath"
Impacted tooth,There may be no symptoms of a fully impacted tooth. Symptoms of a partially impacted tooth may include:; Bad breath; Difficulty opening the mouth (occasionally); Pain or tenderness of the gums or jaw bone; Prolonged headache or jaw ache; Redness and swelling of the gums around the impacted tooth; Swollen lymph nodes of the neck (occasionally); Unpleasant taste when biting down on or near the area; Visible gap where a tooth did not emerge
Malocclusion of teeth,"Symptoms of malocclusion are:; Abnormal alignment of teeth; Abnormal appearance of the face; Difficulty or discomfort when biting or chewing; Speech difficulties (rare), including lisp; Mouth breathing (breathing through the mouth without closing the lips); Inability to bite into food correctly (open bite)"
Periodontitis,"Symptoms of periodontitis include:; Note: Early symptoms are similar to gingivitis (inflammation of the gums).; Bad breath odor (halitosis); Gums that are bright red or reddish-purple; Gums that look shiny; Gums that bleed easily (when flossing or brushing); Gums that are tender when touched but are painless otherwise; Gums that have receded; Loose teeth; Swollen gums; Gaps between the teeth and gums; Shifting teeth; Yellow, brown green or white hard deposits on your teeth; Tooth sensitivity"
Tooth abscess,"The main symptom is a severe toothache. The pain is continuous. It does not stop. It can be described as gnawing, sharp, shooting, or throbbing.; Other symptoms may include:; Bitter taste in the mouth; Breath odor; General discomfort, uneasiness, or ill-feeling; Fever; Pain when chewing; Sensitivity of the teeth to hot or cold; Swelling of the gum over the infected tooth, which may look like a pimple; Swollen glands of the neck; Swollen area of the upper or lower jaw, which is a very serious symptom"
Acoustic trauma,"Symptoms include:; Partial hearing loss that most often involves repeated long-term exposures to loud or high-pitched sounds. The hearing loss may slowly get worse.; Noises, ringing in the ear (tinnitus)."
Facial trauma,Symptoms may include:; Changes in feeling over the face; Deformed or uneven face or facial bones; Difficulty breathing through the nose due to swelling and bleeding; Double vision; Missing teeth; Swelling or bruising around the eyes that may cause vision problems
Traumatic injury of the bladder and urethra,"Some common symptoms are:; Shock or internal bleeding may occur after a bladder injury. This is a medical emergency. Symptoms include:; If there is no or little urine released, there may be an increased risk for urinary tract infections (UTI) or kidney damage.; Lower abdominal pain; Abdominal tenderness; Bruising at the site of injury; Blood in the urine; Bloody urethral discharge; Difficulty beginning to urinate or inability to empty the bladder; Leakage of urine; Painful urination; Pelvic pain; Small, weak urine stream; Abdominal distention or bloating; Decreased alertness, drowsiness, coma; Increased heart rate; Decrease in blood pressure; Pale skin; Sweating; Skin that is cool to the touch"
Ear barotrauma,"Common symptoms include:; Other symptoms may develop if the condition is very bad or goes on for a long time, such as:; Dizziness; Ear discomfort or pain in one or both ears; Hearing loss (slight); Sensation of fullness or stuffiness in the ears; Ear pain; Feeling of pressure in the ears (as if underwater); Moderate to severe hearing loss; Nosebleed"
Injury - kidney and ureter,"Emergency symptoms may include:; Long-term (chronic) symptoms may include:; If only one kidney is affected and the other kidney is healthy, you may not have any symptoms.; Abdominal pain and swelling; Severe flank pain and back pain; Blood in the urine; Drowsiness, decreased alertness, including coma; Decreased urine output or inability to urinate; Fever; Increased heart rate; Nausea, vomiting; Skin that is pale or cool to touch; Sweating; Malnutrition; High blood pressure; Kidney failure"
Spinal cord trauma,"Symptoms vary, depending on the location of the injury. SCI causes weakness and loss of feeling at, and below the injury. The severity of the symptoms depends on whether the entire cord is injured (complete) or only partially injured (incomplete). An injury to the upper (cervical) spinal cord will result in weakness or paralysis of the arms and legs. An injury to the middle (thoracic) spinal cord will result in weakness of the legs only.; An injury below the first lumbar vertebra does not cause SCI because the spinal cord turns into a group of nerve roots called the cauda equina. But such an injury may cause cauda equina syndrome, which is an injury to these nerve roots. Many SCIs and cauda equina syndrome cases are emergencies and need surgery right away.; Injuries of the spinal cord at any level may cause:; CERVICAL (NECK) INJURIES; When SCIs are in the neck area, symptoms can affect the arms, legs, and middle of the body. The symptoms:; THORACIC (CHEST LEVEL) INJURIES; When SCIs are at chest level, symptoms can affect the legs. Injuries to the cervical or high thoracic spinal cord may also result in:; LUMBAR OR SACRAL (LOWER BACK) INJURIES; When SCIs are at the lower back level, symptoms can affect one or both legs. Muscles that control the bowels and bladder can also be affected. Spine injuries can damage the spinal cord if they are at the upper portion of the lumbar spine or the lumbar and sacral nerve roots (cauda equina) if they are at the lower lumbar spine.; Increased muscle tone (spasticity); Loss of normal bowel and bladder control (may include constipation, incontinence, bladder spasms); Numbness; Sensory changes; Pain; Weakness, paralysis; Difficulty breathing because of weakness of the abdominal, diaphragm, or intercostal (rib) muscles; May occur on one or both sides of the body; Can include severe breathing problems from paralysis of the breathing muscles if the injury is high up in the neck; Blood pressure problems (too high and too low); Abnormal sweating; Trouble maintaining normal temperature"
CSF leak,"Symptoms may include:; A headache that is worse when you sit up and improves when you lie down. It may be associated with light sensitivity, nausea, and neck stiffness.; Drainage of CSF from the ear (rarely).; Drainage of CSF from the nose (rarely)."
Basal ganglia dysfunction,"Damage to the basal ganglia cells may cause problems controlling speech, movement, and posture. This combination of symptoms is called parkinsonism.; A person with basal ganglia dysfunction may have trouble starting, stopping, or sustaining movement. Depending on which area of the brain is affected, there may also be problems with memory and other thought processes.; In general, symptoms vary and may include:; Movement changes, such as involuntary or slowed movements; Increased muscle tone; Muscle spasms and muscle rigidity; Problems finding words; Tremor; Uncontrollable, repeated movements, speech, or cries (tics); Walking difficulty"
Kneecap dislocation,"Symptoms of kneecap dislocation include:; The first few times this occurs, you will feel pain and may be unable to walk. If you continue to have dislocations, your knee may not hurt as much and you may not be as disabled. This is not a reason to avoid treatment. Kneecap dislocation damages your knee joint. It can lead to cartilage injuries and increase the risk of developing osteoarthritis at a younger age. Repeat dislocations will make the condition worse and harder to treat.; Knee appears to be deformed; Knee is bent and cannot be straightened out; Kneecap (patella) dislocates to the outside of the knee; Knee pain and tenderness; Knee swelling; ""Sloppy"" kneecap -- you can move the kneecap too much from right to left (hypermobile patella)"
Achilles tendinitis,Symptoms include pain in the heel and along the length of the tendon when walking or running. The area may feel painful and stiff in the morning.; The tendon may be painful to touch or move. The area may be swollen and warm. You may have trouble standing up on your toes. You may also have trouble finding shoes that fit comfortably due to pain in the back of your heel.
Bursitis of the heel,"Symptoms include:; Pain at the back of the heel, especially with walking, running, or when the area is touched; Pain may get worse when standing on tiptoes; Red, warm skin over the back of the heel"
Anterior cruciate ligament (ACL) injury,"Early symptoms:; Those who have only a mild injury may notice that the knee feels unstable or seems to ""give way"" when using it.; A ""popping"" sound at the time of injury; ObviousÂ knee swelling within 6 hours of injury; Pain, especially when you try to put weight on the injured leg; Difficulty in continuing with your sport; Feeling of instability"
Histoplasmosis,"Most people have no symptoms, or only have a mild, flu-like illness.; If symptoms do occur, they may include:; The infection may be active for a short period of time, and then the symptoms go away. Sometimes, the lung infection may become chronic. Symptoms include:; In a small number of people, especially in those with a weakened immune system, histoplasmosis spreads throughout the body. This is called disseminated histoplasmosis. In response to the infection irritation and swelling (inflammation) occur. Symptoms may include:; Fever and chills; Cough and chest pain that gets worse when breathing in; Joint pain; Mouth sores; Red skin bumps, most often on the lower legs; Chest pain and shortness of breath; Cough, possibly coughing up blood; Fever and sweating; Chest pain from inflammation of the sac-like covering around the heart (pericarditis); Headache and neck stiffness from swelling of the membranes covering of the brain and spinal cord (meningitis); High fever"
Hydrocarbon pneumonia,Symptoms may include any of the following:; Coma (lack of responsiveness); CoughingÂ or grunting respiration; Blue lips and fingernails (cyanosis); Fever; Shortness of breath; Smell of a hydrocarbon product on the breath; StuporÂ (decreased level of alertness); Vomiting; Wheezing
Tracheomalacia - congenital,"Symptoms can range from mild to severe. Symptoms may include:; Breathing noises that may change with position and improve during sleep; Breathing problems that get worse with coughing, crying, feeding, or upper respiratory infections (such as cold); High-pitched breathing; Rattling or noisy breaths"
Paraquat poisoning,"Symptoms of paraquat poisoning include:; Burns and pain in the throat; Choking; Coma (lack of responsiveness); Difficulty breathing; Nosebleed; Seizures; Shock (extremely low blood pressure); Shortness of breath; Stomach pain; Vomiting, including vomiting blood"
Mediastinal tumor,Almost one half of mediastinal tumors cause no symptoms and are found on a chest x-ray done for another reason. Symptoms that do occur are due to pressure on (compression of) local structures and may include:; Chest pain; Fever and chills; Cough; Coughing up blood (hemoptysis); Hoarseness; Night sweats; Shortness of breath
Acute bronchitis,"Some symptoms of acute bronchitis are:; Even after acute bronchitis has cleared, you may have a dry, nagging cough that lasts for 1 to 4 weeks.; Sometimes it can be hard to know if you have pneumonia or bronchitis. If you have pneumonia, you are more likely to have a high fever and chills, feel sicker, or feel more short of breath.; Chest discomfort; Cough that produces mucus -- the mucus may be clear or yellow-green; Fatigue; Fever -- usually low-grade; Shortness of breath that gets worse with activity; Wheezing, in people with asthma"
Bronchopulmonary dysplasia,Symptoms may include any of the following:; Bluish skin color (cyanosis); Cough; Rapid breathing; Shortness of breath
Byssinosis,Symptoms may include any of the following:; Symptoms are worse at the beginning of the work week and improve later in the week. Symptoms are also less severe when the person is away from the workplace.; Chest tightness; Cough; Wheezing; Shortness of breath
Pulmonary arteriovenous fistula,"Many people have no symptoms. When symptoms occur, they can include:; Bloody sputum; Difficulty breathing; Difficulty exercising; Nosebleeds; Shortness of breath with exertion; Chest painÂ; Blue skin (cyanosis); Clubbing of the fingers"
Pulmonary atresia,"Symptoms most often occur in the first few hours of life, although it may take up to a few days.; Symptoms may include:; Bluish color to the skin (cyanosis) due to low oxygen level in the blood; Fast breathing; Fatigue; Poor eating habits (babies may get tired while nursing or sweat during feedings); Shortness of breath"
Tracheal rupture,"People with trauma who develop a tracheal or bronchial rupture often have other injuries.; Symptoms may include:; Coughing up blood; Bubbles of air that can be felt underneath the skin of the chest, neck, arms, and trunk (subcutaneous emphysema); Difficulty breathing"
Alveolar abnormalities,
Spider angioma,"The main symptom is a blood vessel spot that:; In rare cases, bleeding occurs in a spider angioma.; May have a red dot in the center; Has reddish extensions that reach out from the center; Disappears when pressed on and comes back when pressure is released"
Pulmonic valve stenosis,"Many cases of pulmonic stenosis are mild and do not cause symptoms. The problem is most often found in infants when a heart murmur is heard during a routine heart exam.; When the valve narrowing (stenosis) is moderate to severe, the symptoms include:; Symptoms may get worse with exercise or activity.; Abdominal distention; Bluish color to the skin (cyanosis) in some people; Poor appetite; Chest pain; Fainting; Fatigue; Poor weight gain or failure to thrive in infants with a severe blockage; Shortness of breath; Sudden death"
SVC obstruction,"Symptoms occur when something blocks the blood flowing back to the heart. Symptoms may begin suddenly or gradually, and may worsen when you bend over or lie down.; Early signs include:; The swelling may be worse or more prominent when lying down than when upright. It may be worse in the early morning hours and may go away by mid-morning.; The most common symptoms are shortness of breath (dyspnea) and swelling of the face, neck, trunk, and arms.; Other possible symptoms include:; Swelling around the eye; Swelling of the face; Swelling of the whites of the eyes; Distended veins in the neck; Decreased alertness; Dizziness, fainting; Headache; Reddish face or cheeks; Reddish palms; Reddish mucous membranes (inside the nose, mouth, and other places); Redness changing to blueness later; Sensation of head or ear fullness; Vision changes"
Endocarditis,"Symptoms of endocarditis may develop slowly or suddenly.; Fever, chills, and sweating are frequent symptoms. These sometimes can:; You may also have fatigue, weakness, weight loss, loss of appetite, and aches and pains in the muscles or joints.; Other signs can include:; Be present for days before any other symptoms appear; Come and go, or be more noticeable at nighttime; Small areas of bleeding under the nails (splinter hemorrhages); Red, painless skin spots on the palms and soles (Janeway lesions); Red, painful nodes in the pads of the fingers and toes (Osler nodes); Shortness of breath with activity; Swelling of feet, legs, abdomen"
Ventricular septal defect,"People with VSDs may not have symptoms. However, if the hole is large, the baby often has symptoms related to heart failure.; The most common symptoms include:; Shortness of breath; Fast breathing; Hard breathing; Paleness; Failure to gain weight; Fast heart rate; Sweating while feeding; Frequent respiratory infections"
Ectopic heartbeat,"Symptoms include:; Note: There may be no symptoms.; Feeling your heartbeat (palpitations); Feeling like your heart stopped or skipped a beat; Feeling of occasional, forceful beats"
Arrhythmias,"When you have an arrhythmia, your heartbeat may be:; An arrhythmia may be present all of the time or it may come and go. You may or may not feel symptoms when the arrhythmia is present. Or, you may only notice symptoms when you are more active.; Symptoms can be very mild, or they may be severe or even life threatening.; Common symptoms that may occur when the arrhythmia is present could include:; Too slow (bradycardia); Too quick (tachycardia); Irregular, uneven, possibly with extra or skipped beats; Chest pain; Fainting; Lightheadedness, dizziness; Paleness; Palpitations (feeling your heart beat fast or irregularly); Shortness of breath; Sweating"
Arterial embolism,You may not have any symptoms.; Symptoms may begin quickly or slowly depending on the size of the embolus and how much it blocks the blood flow.; Symptoms of an arterial embolism in the arms or legs may include:; Later symptoms:; Symptoms of a clot in an organ vary with the organ involved but may include:; Cold arm or leg; Decreased or no pulse in an arm or leg; Lack of movement in the arm or leg; Pain in the affected area; Numbness and tingling in the arm or leg; Pale color of the arm or leg (pallor); Weakness of an arm or leg; Blisters of the skin fed by the affected artery; Shedding (sloughing) of skin; Skin erosion (ulcer); Tissue death (necrosis; skin is dark and damaged); Pain in the part of the body that is involved; Temporarily decreased organ function
Pericarditis - constrictive,"When you have constrictive pericarditis, the inflammation causes the covering of the heart to become thick and rigid. This makes it hard for the heart to expand properly when it beats. As a result, the heart chambers don't fill up with enough blood. Blood backs up behind the heart, causing heart swelling and other symptoms of heart failure.; Symptoms of chronic constrictive pericarditis include:; Difficulty breathing (dyspnea) that develops slowly and gets worse; Fatigue; Long-term swelling (edema) of the legs and ankles; Swollen abdomen; Weakness"
Cyanotic heart disease,"Some heart defects cause major problems right after birth.; The main symptom of cyanosis is a bluish color of the lips, fingers, and toes that is caused by the low oxygen content in the blood. It may occur while the child is resting or only when the child is active.; Some children have breathing problems (dyspnea). They may get into a squatting position after physical activity to relieve breathlessness.; Others have spells, in which their bodies are suddenly starved of oxygen. During these spells, symptoms may include:; Infants may get tired or sweat while feeding and may not gain as much weight as they should.; Fainting (syncope) and chest pain may occur.; Other symptoms depend on the type of cyanotic heart disease, and may include:; Anxiety; Breathing too quickly (hyperventilation); Sudden increase in bluish color to the skin; Feeding problems or reduced appetite, leading to poor growth; Bluish color to the skin (cyanosis) due to low oxygen level in the blood; Puffy eyes or face; Tiredness all the time"
Cardiomyopathy,
Hypoplastic left heart syndrome,"At first, a newborn with hypoplastic left heart may appear normal. Symptoms may occur in the first few hours of life, although it may take up to a few days to develop symptoms. These symptoms may include:; In healthy newborns, bluish color in the hands and feet is a response to cold (this reaction is called peripheral cyanosis).; A bluish color in the chest or abdomen, lips, and tongue is abnormal (called central cyanosis). It is a sign that there is not enough oxygen in the blood. Central cyanosis often increases with crying.; Bluish color to the skin (cyanosis) due to low oxygen level in the blood; Cold hands and feet (extremities); Lethargy; Poor pulse; Poor suckling and feeding; Pounding heart; Rapid breathing; Shortness of breath"
Angina,
Thrombophlebitis,Thrombophlebitis often causes the following symptoms:; Swelling in the part of the body affected; Pain in the part of the body affected; Skin redness (not always present); Warmth and tenderness over the vein
