Disease,Symptoms
Spinal tumor,"The symptoms depend on the location, type of tumor, and your general health. Secondary tumors that have spread to the spine from another site (metastatic tumors) often progress quickly. Primary tumors often progress slowly over weeks to years.; Symptoms may include:; Abnormal sensations or loss of sensation, especially in the legs; Back pain that gets worse over time, is often in the middle or lower back, is usually severe and not relieved by pain medicine, gets worse when lying down or straining (such as during a cough or sneeze), and may extend to the hips or legs; Loss of bowel control, bladder leakage; Muscle contractions, twitches, or spasms (fasciculations); Muscle weakness (decreased muscle strength) in the legs that causes falls, makes walking difficult, and may get worse (progressive) and lead to paralysis"
Posterior fossa tumor,"Symptoms occur very early with posterior fossa tumors and may include:; Symptoms from posterior fossa tumors also occur when the tumor damages local structures, such as the cranial nerves. Symptoms of cranial nerve damage include:; Drowsiness; Headache; Imbalance; Nausea; Uncoordinated walk (ataxia); Vomiting; Dilated pupils; Eye problems; Face muscle weakness; Hearing loss; Loss of feeling in part of the face; Taste problems; Unsteadiness when walking; Vision problems"
Spinal cord abscess,"Symptoms may include any of the following:; Fever and chills.; Loss of bladder or bowel control.; Loss of movement of an area of the body below the abscess.; Loss of sensation of an area of the body below the abscess.; Low backache, often mild, but slowly gets worse, with pain moving to the hip, leg, or feet. Or, pain may spread to the shoulder, arm, or hand."
Developmental reading disorder,"A person with DRD may have trouble rhyming and separating sounds that make up spoken words. These abilities affect learning to read. A child's early reading skills are based on word recognition. That involves being able to separate out the sounds in words and match them with letters and groups of letters.; People with DRD have trouble connecting the sounds of language to the letters of words. This may also create problems in understanding sentences.; True dyslexia is much broader than simply confusing or transposing letters. For example, mistaking a ""b"" and a ""d.""; In general, symptoms of DRD may include problems with:; Determining the meaning of a simple sentence; Learning to recognize written words; Rhyming words"
Neuralgia,"Symptoms may include any of the following:; Increased sensitivity of the skin along the path of the damaged nerve, so that any touch or pressure is felt as pain; Pain along the path of the nerve that is sharp or stabbing, in the same location each episode, comes and goes (intermittent) or is constant and burning, and may get worse when the area is moved; Weakness or complete paralysis of muscles supplied by the same nerve"
Neuroblastoma,"The first symptoms are usually fever, a general sick feeling (malaise), and pain. There may also be loss of appetite, weight loss, and diarrhea.; Other symptoms depend on the site of the tumor, and may include:; Brain and nervous system problems may include:; Bone pain or tenderness (if the cancer has spread to the bones); Difficulty breathing or a chronic cough (if the cancer has spread to the chest); Enlarged abdomen (from a large tumor or excess fluid); Flushed, red skin; Pale skin and bluish color around the eyes; Profuse sweating; Rapid heart rate (tachycardia); Inability to empty the bladder; Loss of movement (paralysis) of the hips, legs, or feet (lower extremities); Problems with balance; Uncontrolled eye movements or leg and feet movements (called opsoclonus-myoclonus syndrome, or ""dancing eyes and dancing feet"")"
Spasmus nutans,"Symptoms of spasmus nutans include:; Small, quick, side-to-side eye movements called nystagmus (both eyes are involved, but each eye may move differently); Head nodding; Head tilting"
Facial tics,"Tics may involve repeated, uncontrolled spasm-like muscle movements, such as:; Repeated throat clearing or grunting may also be present.Â; Eye blinking; Grimacing; Mouth twitching; Nose wrinkling; Squinting"
Friedreich ataxia,"Symptoms are caused by the wearing away of structures in areas of the brain and spinal cord that control coordination, muscle movement, and other functions. Symptoms most often begin before puberty. Symptoms may include:; Muscle problems lead to changes in the spine. This may result in scoliosis or kyphoscoliosis.; Heart disease most often develops and may lead to heart failure. Heart failure or dysrhythmias that do not respond to treatment may result in death. Diabetes may develop in later stages of the disease.; Abnormal speech; Changes in vision, particularly color vision; Decrease in ability to feel vibrations in lower limbs; Foot problems, such as hammer toe and high arches; Hearing loss, this occurs in about 10% of people; Jerky eye movements; Loss of coordination and balance, which leads to frequent falls; Muscle weakness; No reflexes in the legs; Unsteady gait and uncoordinated movements (ataxia), which gets worse with time"
Epidural hematoma,"Contact your health care provider for any head injury that results in even a brief loss of consciousness, or if there are any other symptoms after a head injury (even without loss of consciousness).; The typical pattern of symptoms that indicate an EDH is a loss of consciousness, followed by alertness, then loss of consciousness again. But this pattern may not appear in all people.; The most important symptoms of an EDH are:; The symptoms usually occur within minutes to hours after a head injury and indicate an emergency situation.; Sometimes, bleeding does not start for hours after a head injury. The symptoms of pressure on the brain also do not occur right away.; Confusion; Dizziness; Drowsiness or altered level of alertness; Enlarged pupil in one eye; Headache (severe); Head injury or trauma followed by loss of consciousness, a period of alertness, then rapid deterioration back to unconsciousness; Nausea or vomiting; Weakness in part of the body, usually on the opposite side from the side with the enlarged pupil; Seizures can occur as a result of head impact"
Bruxism,"Grinding your teeth puts pressure on the muscles, tissues, and other structures around your jaw. The symptoms can cause temporomandibular joint problems (TMJ).; Grinding can wear down your teeth. It can be noisy enough at night to bother sleeping partners.; Symptoms of bruxism include:; Anxiety, stress, and tension; Depression; Earache (partly because the structures of the temporomandibular joint are very close to the ear canal, and because you can feel pain in a different location than its source; this is called referred pain); Eating disorders; Headache; Muscle tenderness, especially in the morning; Hot, cold, or sweet sensitivity in the teeth; Insomnia; Sore or painful jaw"
Aneurysm in the brain,"A person may have an aneurysm without having any symptoms. This kind of aneurysm may be found when an MRI or CT scan of the brain is done for another reason.; A brain aneurysm may begin to leak a small amount of blood. This may cause a severe headache that a person may describe as ""the worst headache of my life."" It may be called a thunderclap or sentinel headache. This means the headache could be a warning sign of a future rupture that may occur days to weeks after the headache first started.; Symptoms may also occur if the aneurysm pushes on nearby structures in the brain or breaks open (ruptures) and causes bleeding into the brain.; Symptoms depend on the location of the aneurysm, whether it breaks open, and what part of the brain it is pushing on. Symptoms may include:; A sudden, severe headache is one symptom of an aneurysm that has ruptured. Other symptoms of an aneurysm rupture may include:; NOTE: A ruptured aneurysm is a medical emergency. Call 911 or the local emergency number.; Double vision; Loss of vision; Headaches; Eye pain; Neck pain; Stiff neck; Ringing in the ears; Confusion, no energy, sleepiness, orÂ stupor; Eyelid drooping; Headaches with nausea or vomiting; Muscle weakness or difficulty moving any part of the body; Numbness or decreased sensation in any part of the body; Problems speaking; Seizures; Stiff neck (occasionally); Vision changes (double vision, loss of vision); Loss of consciousness (coma)"
Encephalitis,"Some people may have symptoms of a cold or stomach infection before encephalitis symptoms begin.; When this infection is not very severe, the symptoms may be similar to those of other illnesses:; Other symptoms include:; Symptoms in newborns and younger infants may not be as easy to recognize:; Emergency symptoms:; Fever that is not very high; Mild headache; Low energy and a poor appetite; Clumsiness, unsteady gait; Confusion, disorientation; Drowsiness; Irritability or poor temper control; Light sensitivity; Stiff neck and back (sometimes); Vomiting; Body stiffness; Irritability and crying more often (these symptoms may get worse when the baby is picked up); Poor feeding; Soft spot on the top of the head may bulge out more; Vomiting; Loss of consciousness, poor responsiveness, stupor, coma; Muscle weakness or paralysis; Seizures; Severe headache; Sudden change in mental functions, such as flat mood, impaired judgment, memory loss, or a lack of interest in daily activities"
Epidural abscess,"Spinal epidural abscess may cause these symptoms:; Intracranial epidural abscess may cause these symptoms:; Nervous system symptoms depend on the location of the abscess and may include:; Bowel or bladder incontinence; Difficulty urinating (urinary retention); Fever and back pain; Fever; Headache; Lethargy; Nausea and vomiting; Pain at the site of recent surgery that gets worse (especially if fever is present); Decreased ability to move any part of the body; Loss of sensation in any area of the body, or abnormal changes in sensation; Weakness"
Tay-Sachs disease,"Symptoms may include any of the following:; Deafness; Decreased eye contact, blindness; Decreased muscle tone (loss of muscle strength), loss of motor skills, paralysis; Slow growth and delayed mental and social skills; Dementia (loss of brain function); Increased startle reaction; Irritability; Listlessness; Seizures"
Brachial plexopathy,"Symptoms may include:; Numbness of the shoulder, arm, or hand; Shoulder pain; Tingling, burning, pain, or abnormal sensations (location depends on the area injured); Weakness of the shoulder, arm, hand, or wrist"
Subacute sclerosing panencephalitis,"Symptoms of SSPE occur in four general stages. With each stage, the symptoms are worse than the stage before:; Stage I: There may be personality changes, mood swings, or depression. Fever and headache may also be present. This stage may last up to 6 months.; Stage II: There may be uncontrolled movement problems including jerking and muscle spasms. Other symptoms that may occur in this stage are loss of vision, dementia, and seizures.; Stage III: Jerking movements are replaced by writhing (twisting) movements and rigidity. Death may occur from complications.; Stage IV: Areas of the brain that regulate breathing, heart rate, and blood pressure are damaged. This leads to coma and then death."
Benign positional vertigo,"BPPV symptoms include any of the following:; The spinning sensation:; Certain positions can trigger the spinning feeling:; Feeling like you are spinning or moving; Feeling like the world is spinning around you; Loss of balance; Nausea and vomiting; Hearing loss; Vision problems, such as a feeling that things are jumping or moving; Is usually triggered by moving your head; Often starts suddenly; Lasts a few seconds to minutes; Rolling over in bed; Tilting your head up to look at something"
Brain herniation,"Signs and symptomsÂ of increased pressure inside the skull (that may lead to brain herniation) may include:; High blood pressure; Irregular or slow pulse; Severe headache; Weakness; Cardiac arrest (no pulse); Loss of consciousness, coma; Loss of all brainstem reflexes (blinking, gagging, and pupils reacting to light); Respiratory arrest (no breathing); Wide (dilated) pupils and no movement in one or both eyes"
Subdural effusion,Symptoms may include:; Outward curving of a baby's skull's soft spot (bulging fontanelle); Abnormally wide spaces in the bony joints of a baby's skull (separated sutures); Increased head circumference; Low energy (lethargy); Persistent fever; Seizures; Vomiting; Weakness or loss of movement on both sides of the body
Vertebrobasilar circulatory disorders,"Common symptoms may include:; Other symptoms may include:; Difficulty pronouncing words, slurred speech; Difficulty swallowing; Double vision or vision loss; Numbness or tingling, most often on the face or scalp; Sudden falls (drop attacks); Vertigo (sensation of things spinning around); Memory loss; Bladder or bowel control problems; Difficulty walking (unsteady gait); Headache, neck ache; Hearing loss; Muscle weakness; Nausea and vomiting; Pain in one or more parts of the body, which gets worse with touch and cold temperatures; Poor coordination; Sleepiness or sleep from which the person cannot be awakened; Sudden, uncoordinated movements; Sweating on the face, arms, or legs"
Myotonia congenita,"The hallmark of this condition is myotonia. This means the muscles are unable to quickly relax after contracting. For example, after a handshake, the person is only very slowly able to open and pull away their hand.; Early symptoms may include:; Children with myotonia congenita often look muscular and well-developed. They may not have symptoms of myotonia congenita until age 2 or 3.; Difficulty swallowing; Gagging; Stiff movements that improve when they are repeated; Shortness of breath or tightening of the chest at the beginning of exercise; Frequent falls; Difficulty opening eyes after forcing them closed or crying"
Facial nerve palsy due to birth trauma,"The most common form of facial nerve palsy due to birth trauma involves only the lower part of the facial nerve. This part controls the muscles around the lips. The muscle weakness is mainly noticeable when the infant cries.; The newborn infant may have the following symptoms:; In some cases, other cranial nerves may be affected as well.; Eyelid may not close on affected side; Lower face (below eyes) appears uneven during crying; Mouth does not move down the same way on both sides while crying; No movement (paralysis) on the affected side of the face (from the forehead to the chin in severe cases)"
Sturge-Weber syndrome,Symptoms of SWS include:; Port-wine stain (more common on the upper face and eyelid than the rest of the body); Seizures; Headache; Paralysis or weakness on one side; Learning disabilities; Glaucoma (very high fluid pressure in the eye); Low thyroid function (hypothyroidism)
Stuttering,"Stuttering may start with repeating consonants (k, g, t). If stuttering becomes worse, words and phrases are repeated.; Later, vocal spasms develop. There is a forced, almost explosive sound to speech. The person may appear to be struggling to speak.; Stressful social situations and anxiety can make symptoms worse.; Symptoms of stuttering may include:; Other symptoms that might be seen with stuttering include:; Children with mild stuttering are often unaware of their stuttering. In severe cases, children may be more aware. Facial movements, anxiety, and increased stuttering may occur when they are asked to speak.; Some people who stutter find that they do not stutter when they read aloud or sing.; Feeling frustrated when trying to communicate; Pausing or hesitating when starting or during sentences, phrases, or words, often with the lips together; Putting in (interjecting) extra sounds or words (""We went to the...uh...store""); Repeating sounds, words, parts of words, or phrases (""I want...I want my doll,"" ""I...I see you,"" or ""Ca-ca-ca-can""); Tension in the voice; Very long sounds within words (""I am Booooobbbby Jones"" or ""Llllllllike""); Eye blinking; Jerking of the head or other body parts; Jaw jerking; Clenching fist"
Waardenburg syndrome,"Symptoms may include:; Less common types of this disease may cause problems with the arms or intestines.; Cleft lip (rare); Constipation; Deafness (more common in type II disease); Extremely pale blue eyes or eye colors that don't match (heterochromia); Pale color skin, hair, and eyes (partial albinism); Difficulty completely straightening joints; Possible slight decrease in intellectual function; Wide-set eyes (in type I); White patch of hair or early graying of the hair"
Rhabdomyosarcoma,"The most common symptom is a mass that may or may not be painful.; Other symptoms vary depending on location of the tumor.; Tumors in the nose or throat may cause bleeding, congestion, swallowing problems, or nervous system problems if they extend into the brain.; Tumors around the eyes may cause bulging of the eye, problems with vision, swelling around the eye, or pain.; Tumors in the ears, may cause pain, hearing loss, or swelling.; Bladder and vaginal tumors may cause trouble starting to urinate or having a bowel movement, or poor control of urine.; Muscle tumors may lead to a painful lump, and can be mistaken for an injury."
Speech disorders - children,"DISFLUENCY; Stuttering is the most common type of disfluency.; Symptoms of disfluency can include:; ARTICULATION DISORDER; The child is not able to produce speech sounds clearly, such as saying ""coo"" instead of ""school.""; PHONOLOGICAL DISORDER; The child does not use some or all of the speech sounds to form words as expected for their age.; VOICE DISORDERS; Other speech problems include:; Repetition of sounds, words, or parts of words or phrases after age 4 (I want...I want my doll. I...I see you.); Putting in (interjecting) extra sounds or words (We went to the...uh...store.); Making words longer (I am Boooobbby Jones.); Pausing during a sentence or words, often with the lips together; Tension in the voice or sounds; Frustration with attempts to communicate; Head jerking while talking; Eye blinking while talking; Embarrassment with speech; Certain sounds (like ""r"", ""l"", or ""s"") may be consistently distorted or changed (such as making the 's' sound with a whistle).; Errors may make it hard for people to understand the person (only family members may be able to understand a child).; The last or first sound of words (most often consonants) may be left out or changed.; The child may have no problem pronouncing the same sound in other words (a child may say ""boo"" for ""book"" and ""pi"" for ""pig"", but may have no problem saying ""key"" or ""go"").; Hoarseness or raspiness to the voice; Voice may break in or out; Pitch of the voice may change suddenly; Voice may be too loud or too soft; Person may run out of air during a sentence; Speech may sound odd because too much air is escaping through the nose (hypernasality) or too little air is coming out through the nose (hyponasality)"
Autonomic dysreflexia,"Symptoms can include any of the following:; Sometimes there are no symptoms, even with a dangerous rise in blood pressure.; Anxiety or worry; Bladder or bowel problems; Blurry vision, widened (dilated) pupils; Lightheadedness, dizziness, or fainting; Fever; Goosebumps, flushed (red) skin above the level of the spinal cord injury; Heavy sweating; High blood pressure; Irregular heartbeat, slow or fast pulse; Muscle spasms, especially in the jaw; Nasal congestion; Throbbing headache"
Vertigo-associated disorders,"The main symptom is a sensation that you or the room is moving or spinning. The spinning sensation may cause nausea and vomiting.; Depending on the cause, other symptoms can include:; If you have vertigo due to problems in the brain (central vertigo), you may have other symptoms, including:; Problem focusing the eyes; Dizziness; Hearing loss in one or both ears; Loss of balance (may cause falls); Ringing in the ears; Nausea and vomiting, leading to loss of body fluids; Difficulty swallowing; Double vision; Eye movement problems; Facial paralysis; Slurred speech; Weakness of the limbs"
Thoracic outlet syndrome,"Symptoms of thoracic outlet syndrome may include:; Pain, numbness, and tingling in the pinky and ring fingers, and the inner forearm; Pain and tingling in the neck and shoulders (carrying something heavy may make the pain worse); Signs of poor circulation in the hand or forearm (a bluish color, cold hands, or a swollen arm); Weakness of the muscles in the hand"
Cerebral hypoxia,Symptoms of mild cerebral hypoxia include:; Symptoms of severe cerebral hypoxia include:; Change in attention (inattentiveness); Poor judgment; Speech disorder; Uncoordinated movement; Complete unawareness and unresponsiveness (coma); No breathing; No response of the pupils of the eye to light
Ganglioneuroblastoma,"Most commonly, a lump can be felt in the abdomen with tenderness.; This tumor may also occur at other sites, including:; Chest cavity; Neck; Legs"
Ganglioneuroma,"A ganglioneuroma usually causes no symptoms. The tumor is only discovered when a person is examined or treated for another condition.; Symptoms depend on the location of the tumor and the type of chemicals it releases.; If the tumor is in the chest area (mediastinum), symptoms may include:; If the tumor is lower down in the abdomen in the area called the retroperitoneal space, symptoms may include:; If the tumor is near the spinal cord, it may cause:; These tumors may produce certain hormones, which can cause the following symptoms:; Breathing difficulty; Chest pain; Compression of the windpipe (trachea); Abdominal or back pain; Bloating; Compression of the spinal cord, which leads to pain and loss of strength or feeling in the legs, arms, or both; Spine deformity; Diarrhea; High blood pressure; Increased body hair"
Polyarteritis nodosa,"Symptoms are caused by damage to affected organs. The skin, joints, muscles, gastrointestinal tract, heart, kidneys, and nervous system are often affected.; Symptoms include:; If nerves are affected, you may have numbness, pain, burning, and weakness. Damage to the nervous system may cause strokes or seizures.; Abdominal pain; Decreased appetite; Fatigue; Fever; Joint aches; Muscle aches; Unintentional weight loss; Weakness"
Ringworm,
Red birthmarks,The main symptoms of birthmarks include:; Marks on the skin that look like blood vessels; Skin rash or lesion that is red
Cherry angioma,"A cherry angioma is:; Bright cherry-red; Small -- pinhead size to about one quarter inch (0.5 centimeter) in diameter; Smooth, or can stick out from the skin"
Necrotizing soft tissue infection,"Symptoms may include:; Other symptoms may include:; A small, red, painful lump or bump on the skin that spreads; A very painful bruise-like area then develops and grows rapidly, sometimes in less than an hour; The center becomes dark and dusky and then turns black and the tissue dies; The skin may break open and ooze fluid; Feeling ill; Fever; Sweating; Chills; Nausea; Dizziness; Weakness; Shock"
Paronychia,"The main symptom is a painful, red, swollen area around the nail, often at the cuticle or at the site of a hangnail or other injury. There may be pus-filled blisters, especially with a bacterial infection.; Bacteria cause the condition to come on suddenly. If all or part of the infection is due to a fungus, it tends to occur more slowly.; Nail changes may occur. For example, the nail may look detached, abnormally shaped, or have an unusual color.; If the infection spreads to the rest of the body, symptoms may include:; Fever, chills; Development of red streaks along the skin; General ill feeling; Joint pain; Muscle pain"
Gianotti-Crosti syndrome,"Skin symptoms may include any of the following:; Other symptoms that may appear include:; Rash or patch on the skin, usually on the arms and legs; Brownish-red or copper-colored patch that is firm and flat on top; String of bumps may appear in a line; Generally not itchy; Rash looks the same on both sides of the body; Rash may appear on the palms and soles, but not on the back, chest, or belly area (this is one of the ways it is identified, by the absence of the rash on the trunk of the body); Swollen abdomen; Swollen lymph nodes; Tender lymph nodes"
Xanthoma,A xanthoma looks like a yellow to orange bump (papule) with defined borders. There may be several individual ones or they may form clusters.
Mouth ulcers,"Symptoms will vary, based on the cause of the mouth ulcer. Symptoms may include:; Open sores in the mouth; Pain or discomfort in the mouth"
Trichorrhexis nodosa,"Your hair may break easily or it may appear like it is not growing.; In African Americans, looking at the scalp area using a microscope shows that the hair breaks off at the scalp area before it grows long.; In other people, the problem often appears at the end of a hair shaft in the form of split ends, thinning hair, and hair tips that look white."
Alopecia areata,"Hair loss is usually the only symptom. A few people may also feel a burning sensation or itching.; Alopecia areata usually begins as one to several (1 cm to 4 cm) patches of hair loss. Hair loss is most often seen on the scalp. It may also occur in the beard, eyebrows, pubic hair, and arms or legs in some people. Nail pitting may also occur.; Patches where hair has fallen out are smooth and round in shape. They may be peach-colored. Hairs that look like exclamation points are sometimes seen at the edges of a bald patch with a magnifying tool.; If alopecia areata leads to total hair loss, it often occurs within 6 months after symptoms first start. This is called alopecia totalis when the entire scalp is involved, and alopecia universalis when the entire body is affected."
Ichthyosis vulgaris,"Symptoms may include any of the following:; The dry, scaly skin is usually most severe on the legs. But it can also involve the arms, hands, and middle of the body. People with this condition may also have many fine lines on their palms.; In infants, the skin changes usually appear in the first year of life. Early on, the skin is only slightly rough, but by the time a baby is about 3 months old, they begin appearing on the shins and back of the arms.; Dry skin, severe; Scaly skin (scales); Possible skin thickening; Mild itching of the skin"
Nevoid basal cell carcinoma syndrome,"Main symptoms of this disorder are:; Other symptoms include:; The condition may affect the nervous system and lead to:; The condition also leads to bone defects, including:; A type of skin cancer called basal cell carcinoma that develops around the time of puberty; A noncancerous tumor of the jaw, called keratocystic odontogenic tumor that also develops during puberty; Broad nose; Cleft palate; Heavy, protruding brow; Jaw that sticks out (in some cases); Wide-set eyes; Pitting on palms and soles; Eye problems; Deafness; Intellectual disability; Seizures; Tumors of the brain; Curvature of the back (scoliosis); Severe curvature of the back (kyphosis); Abnormal ribs"
Giant congenital nevus,"A nevus will appear as a dark-colored patch with any of the following:; Nevi are commonly found on the upper or lower parts of the back or the abdomen. They may also be found on the:; Brown to bluish-black color; Hair; Regular or uneven borders; Smaller affectedÂ areas near the larger nevus (maybe); Smooth, irregular, or wart-like skin surface; Arms; Legs; Mucus membranes; Palms or soles"
Creeping eruption,"Symptoms of creeping eruption include:; Blisters; Itching, may be more severe at night; Raised, snakelike tracks in the skin that may spread over time, usually about 1 cm (less than one half inch) per day, usually on the feet and legs (severe infections may cause several tracks)"
Perioral dermatitis,"Symptoms may include:; The rash may be mistaken for acne.; Burning feeling around the mouth. The creases between the nose and mouth are most affected.; Bumps around the mouth that may be filled with fluid or pus.; A similar rash may appear around the eyes, nose, or forehead."
Hereditary angioedema,"Symptoms include:; Airway blockage -- involves throat swelling and sudden hoarseness; Repeat episodes of abdominal cramping without obvious cause; Swelling in the hands, arms, legs, lips, eyes, tongue, throat, or genitals; Swelling of the intestines -- can be severe and lead to abdominal cramping, vomiting, dehydration, diarrhea, pain, and occasionally shock; A non-itchy, red rash"
Epidermolysis bullosa,"Depending on the form of EB, symptoms can include:; Alopecia (hair loss); Blisters around the eyes and nose; Blisters in or around the mouth and throat, causing feeding problems or swallowing difficulty; Blisters on the skin as a result of minor injury or temperature change, especially of the feet; Blistering that is present at birth; Dental problems, such as tooth decay; Hoarse cry, cough, or other breathing problems; Tiny white bumps on previously injured skin; Nail loss or deformed nails; Mitten-like hands or feet; Thickening of skin on hands and feet; Muscle, heart, brain, gastrointestinal, bone, or kidney issues"
Erythema toxicum,"The main symptom is a rash of small, yellow-to-white-colored bumps (papules) surrounded by red skin. There may be a few or several papules. They are usually on the face and in the middle of the body. They can also be seen on the upper arms and thighs.; The rash can change rapidly, appearing and disappearing in different areas over hours to days."
Hemangioma,"Symptoms of a hemangioma are:; Most hemangiomas are on the head, neck, or extremities.; A red to reddish-purple, raised growth on the skin; A massive, raised, bluish lump with visible blood vessels"
Hot tub folliculitis,"The first symptom of hot tub folliculitis is an itchy, bumpy, and red rash. Symptoms can appear from several hours to 5 days after contact with the bacteria.; The rash may:; Other people who used the hot tub may have the same rash.; Some patients may feel ill or have a fever or swollen lymph nodes.; Turn into dark red tender nodules; Have bumps that fill with pus; Look like acne; Be thicker under swimsuit areas where the water was in contact with the skin for longer"
Hypomelanosis of Ito,"Skin symptoms are most often visible by the time a child is about 2 years old.; Other symptoms develop as the child grows, and may include:; Crossed eyes (strabismus); Hearing problems; Increased body hair (hirsutism); Scoliosis; Seizures; Streaked, whorled or mottled patches of skin on the arms, legs, and middle of the body; Intellectual disability, including autism spectrum disorder and learning disability; Mouth or tooth problems"
Keratosis pilaris,"Symptoms may include:; Small bumps that look like ""goose bumps"" on the back of the upper arms and thighs; Bumps feel like very rough sandpaper; Skin-colored bumps are the size of a grain of sand; Slight pinkness may be seen around some bumps; Bumps may appear on the face and be mistaken for acne"
Pityriasis alba,"The problem areas on the skin (lesions) often start as slightly red and scaly patches that are round or oval. They usually appear on the face, upper arms, neck, and upper middle of the body. After these lesions go away, the patches turn light-colored (hypopigmented).; The patches do not tan easily. Because of this, they may get red quickly in the sun. As the skin surrounding the patches darkens normally, the patches may become more visible."
Pyogenic granuloma,"Signs of a pyogenic granuloma are:; A small red lump on the skinÂ that bleeds easily; Often found at the site of a recent injury; Usually seen on hands, arms, and face, butÂ they may develop in the mouth (most often in pregnant women)"
Tinea versicolor,"The main symptom is patches of discolored skin that:; African Americans and other people of color may have a loss of skin color or an increase in skin color.; Other symptoms include:; Have sharp borders (edges) and fine scales; Are oftenÂ lighter or darker than the surrounding skin; Are found on the back, underarms, upper arms, chest, and neck; Are found on the forehead (in children); Do not darken in the sun, so may appear lighter than the surrounding healthy skin; Increased sweating; Mild itching; Mild swelling"
Urticaria pigmentosa,"The main symptom is brownish patches on the skin. These patches contain cells called mastocytes. When mastocytes release the chemical histamine, the patches develop into hive-like bumps. Younger children may develop a blister that is filled with fluid if the bump is scratched.; The face may also get red quickly.; In severe cases, these symptoms may occur:; Diarrhea; Fainting (uncommon); Headache; Wheeze; Rapid heartbeat; Abdominal pain"
Xeroderma pigmentosum,"Symptoms usually appear by the time a child is 2 years old.; Skin symptoms include:; Eye symptoms include:; Nervous system (neurologic) symptoms, which develop in some children, include:; Sunburn that does not heal after just a little bit of sun exposure; Blistering after just a little bit of sun exposure; Spider-like blood vessels under the skin; Patches of discolored skin that get worse, resembling severe aging; Crusting of the skin; Scaling of the skin; Oozing raw skin surface; Discomfort when being in bright light (photophobia); Skin cancer at a very young age (including melanoma, basal cell carcinoma, squamous cell carcinoma); Dry eye; Clouding of the cornea; Ulcers of the cornea; Swelling or inflammation of the eyelids; Cancer of eyelids, cornea or sclera; Intellectual disability; Delayed growth; Loss of hearing; Muscle weakness of the legs and arms"
Ehlers-Danlos syndrome,"Symptoms of EDS vary by type and may include:; Back pain; Double-jointedness; Easily damaged, bruised, and stretchy skin; Easy scarring and poor wound healing; Flat feet; Increased joint mobility, joints popping, early arthritis; Joint dislocation; Joint pain; Premature rupture of membranes during pregnancy; Very soft and velvety skin; Vision problems"
Ectodermal dysplasias,"People with ectodermal dysplasia have a lack of sweat glands. This means they may not sweat or sweat less than normal.; In children with the disease, their bodies may have a problem controlling fevers. When the skin cannot sweat, it is hard for the body to control temperature properly. So even a mild illness can cause a very high fever.; Adults with the disease can't tolerate a warm environment. Air conditioning and other measures are needed to keep a normal body temperature.; Depending on which genes are affected, other symptoms may include:; Abnormal nails; Abnormal or missing teeth, or fewer than normal number of teeth; Cleft lip; Decreased skin color (pigment); Large forehead; Low nasal bridge; Thin, sparse hair; Learning disabilities; Poor hearing; Poor vision with decreased tear production; Weakened immune system"
Erythrasma,"The main symptoms are reddish-brown slightly scaly patches with sharp borders. They may itch slightly. The patches occur in moist areas such as the groin, armpit, and skin folds.; The patches often look similar to fungal infections, such as ringworm."
Pityriasis rubra pilaris,"PRP is a chronic skin condition in which orange or salmon-colored scaly patches with thick skin develop on the hands and feet.; The scaly areas may cover much of the body. Small islands of normal skin (called islands of sparing) are seen within the areas of the scaly skin. The scaly areas may be itchy. There may be changes in the nails.; PRP can be severe. Although it's not life threatening, PRP can greatly reduce quality of life and limit activities of daily living."
Dermal melanocytosis,"Dermal melanocytosis isÂ not cancerous and is not associated with disease. The markings may cover a large area of the back.; The markings are usually:; Dermal melanocytosis isÂ sometimes mistaken for bruises. This can raise a question about possible child abuse. It is important to recognize that dermal melanocytosisÂ is a birthmark, not bruises.; Blue or blue-gray spots on the back, buttocks, base of spine, shoulders, or other body areas; Flat with irregular shape and unclear edges; Normal in skin texture; 2 to 8 centimeters wide or larger"
Noonan syndrome with multiple lentigines,"The former name of NSML of LEOPARD stands for the different problems (signs and symptoms) of this disorder:; NSML is similar to Noonan syndrome. However, the main symptom that tells apart the two conditions is that people with NSML have lentigines.; Lentigines -- large number of brown or black freckle-like skin markings that mainly affect the neck and upper chest but can appear all over the body; Electrocardiograph conduction abnormalities -- problems with the electrical and pumping functions of the heart; Ocular hypertelorism -- eyes that are spaced wide apart; Pulmonary valve stenosis -- narrowing of the pulmonary heart valve, resulting in less blood flow to the lungs and causing shortness of breath; Abnormalities of the genitals -- such as undescended testicles; Retardation of growth (delayed growth) -- including bone growth problems of the chest and spine; Deafness -- hearing loss may vary between mild and severe"
Boils,"A boil may begin as tender, pinkish-red, and swollen, on a firm area of the skin. Over time, it will feel like a water-filled balloon or cyst.; Pain gets worse as it fills with pus and dead tissue. Pain lessens when the boil drains. A boil may drain on its own. More often, the boil needs to be opened to drain.; The main symptoms of a boil include:; Other symptoms may include:; A bump about the size of a pea, but may be as large as a golf ball; White or yellow center (pustules); Spread to other skin areas or joining with other boils; Quick growth; Weeping, oozing, or crusting; Fatigue; Fever; General ill-feeling; Itching before the boil develops; Skin redness around the boil"
Port-wine stain,"Early-stage port-wine stains are usually flat and pink. As the child gets older, the stain grows with the child and the color may deepen to dark red or purple. Port-wine stains occur most often on the face but can appear anywhere on the body. Over time, the area can become thickened and take on a cobblestone-like appearance."
