id,disease,Symptoms,When to see a doctor,Causes,Risk factors,Complications,Prevention
1543,Paraneoplastic syndromes of the nervous system,"Symptoms of paraneoplastic syndromes of the nervous system can develop relatively quickly, often over days to weeks. They often begin even before a cancer is diagnosed.
Symptoms vary depending on the body part being injured, and may include:
Trouble walking.
Trouble with balance.
Loss of muscle coordination.
Loss of muscle tone or weakness.
Loss of fine motor skills, such as picking up objects.
Trouble swallowing.
Slurred speech or stuttering.
Memory loss and other thinking impairment.
Vision changes.
Trouble sleeping.
Seizures.
Hallucinations.
Movements that can't be controlled.","Symptoms of paraneoplastic syndromes of the nervous system are similar to those of many conditions, including cancer, cancer complications and some cancer treatments.
But if you have any symptoms suggesting a paraneoplastic syndrome, see your healthcare professional as soon as possible. Early diagnosis and appropriate care are important for treating the cancer and preventing further damage of the nervous system.","Paraneoplastic syndromes of the nervous system are not caused by cancer cells directly or by the cancer spreading, known as metastasis. They're also not caused by other complications, such as infections or treatment side effects. Instead, the syndromes occur alongside the cancer as a result of the activation of your immune system.
Researchers believe that paraneoplastic syndromes of the nervous system are caused by cancer-fighting abilities of the immune system. In particular, antibodies and certain white blood cells, known as T cells, are thought to be involved. Instead of attacking only the cancer cells, these immune system agents also attack the healthy cells of the nervous system.","Any cancer may be associated with a paraneoplastic syndrome of the nervous system. However, it occurs more often in people with cancers of the lung, ovary, breast, testis or lymphatic system.",,
1544,Parkinson's disease,"Parkinson's disease symptoms can be different for everyone. Early symptoms may be mild, and you may not even notice them. Symptoms often begin on one side of the body, then affect both sides. Symptoms are usually worse on one side than the other. Some Parkinson's disease symptoms are similar to those of other disorders.
Parkinson's symptoms may include:
Tremor.This rhythmic shaking usually begins in the hands or fingers. Sometimes tremor begins in the foot or jaw. You may rub your thumb and forefinger back and forth. This is known as a pill-rolling tremor. Your hand may tremble when it's at rest or when you're under stress. You may notice that you shake less when you're doing some sort of task or moving around.
Rigid muscles.You may have stiff muscles in any part of your body. Your muscles may feel tense and painful, and your arm movements may be short and jerky.
Poor posture and balance.Your posture may become stooped. You may fall or have balance problems.
Loss of automatic movements.You may be less able to make certain movements that you typically do without thinking, including blinking, smiling or swinging your arms when you walk.
Speech changes.You may speak softly or quickly, slur, or hesitate before talking. Your speech may be flat or monotone, without typical speech patterns.
Writing changes.You may have trouble writing, and your writing may appear cramped and small.",See a healthcare professional if you have any symptoms of Parkinson's disease. This will help diagnose your condition and rule out other causes.,"In Parkinson's disease, nerve cells in the brain called neurons slowly break down or die. Many Parkinson's disease symptoms are caused by a loss of neurons that produce a chemical messenger in the brain. This messenger is called dopamine.
The cause of Parkinson's disease is unknown, but several factors seem to play a role, including:
Genes.Specific genetic changes are linked to Parkinson's disease. But these are rare unless many family members have had Parkinson's disease.
Many changes happen in the brains of people with Parkinson's disease. Researchers are studying why the changes happen and the roles they play. These changes include:
The presence of Lewy bodies.Clumps of proteins in the brain are associated with Parkinson's disease. These are called Lewy bodies, and researchers believe these proteins hold an important clue to the cause of Parkinson's disease.
Alpha-synuclein found within Lewy bodies.Alpha-synuclein is a protein found in all Lewy bodies. It occurs in a clumped form that cells can't break down. This is currently an important focus among Parkinson's disease researchers. Alpha-synuclein has been found in the spinal fluid of people who later have Parkinson's disease.
Altered mitochondria.Mitochondria are powerhouse compartments inside cells that create most of the body's energy. Changes to mitochondria can cause cell damage. These changes have been found in the brains of people with Parkinson's disease.","Risk factors for Parkinson's disease include:
Age.The risk of Parkinson's disease increases with age. Usually, it starts around age 50 or older. The average age of onset is around age 70. Parkinson's disease can occur in younger adults, but it is rare. When people younger than age 50 have the disease, it's known as early-onset Parkinson's disease.
Genetics.Having one or more first-degree relatives, such as parents or siblings, with Parkinson's disease increases your risk. Your risks are still small unless you have many blood relatives with the condition.","People with Parkinson's disease may have other complications that may be treatable. These may include:
Trouble thinking clearly.Parkinson's disease can affect people's memory, language and reasoning skills. The disease also can lead to dementia or other conditions that affect thinking. These complications usually happen later in Parkinson's disease, and medicines usually have only a modest benefit in managing these symptoms.
Trouble swallowing and chewing.Late-stage Parkinson's disease affects the muscles in the mouth. This causes trouble swallowing and chewing, which can lead to not getting enough nutrients in your diet. If food or saliva collects in the mouth, it can cause choking or drooling.
Sleep problems and sleep disorders.You may wake up often during the night, have nightmares and fall asleep during the day.Another symptom may be rapid eye movement sleep behavior disorder. This involves acting out your dreams. Medicines and other therapies may help your sleep get better.
Other symptoms that can occur include:
Bladder problems.You may have problems such as urgency.
Constipation.You may have a hard time passing stool. You may pass stool fewer than three times a week.
Loss of smell.You may fully or partially lose your sense of smell.
Tiredness.You may feel very tired and lack energy, especially late in the day.
Pain.You may have pain or cramps in your muscles and joints.","Because the cause of Parkinson's disease is not known, there are no proven ways to prevent it. Research shows that some factors may help protect against it. But scientists don't know for sure. These factors include:
Caffeine.Some studies show a link between drinking caffeinated beverages such as coffee and green tea and a lower risk of Parkinson's disease.
Medicines.Some medicines, such as ibuprofen and statins, have been linked to a lower risk of the disease."
1545,Parotid tumors,"Signs and symptoms of parotid tumors include:
A lump or swelling on one side of the face that might appear near the ear or cheek.
Trouble swallowing.
Trouble opening the mouth widely.
Numbness in part of the face.
Muscle weakness in part of the face.
Pain in the face.",Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you.,"It's not clear what causes parotid tumors. These tumors start as a growth of cells in the parotid glands. The parotid glands are two salivary glands that sit just in front of the ears. There is one on each side of the face. Salivary glands make saliva to help with chewing and digesting food.
Parotid tumors happen when cells in the parotid glands develop changes in their DNA. A cell's DNA holds the instructions that tell the cell what to do. In healthy cells, the DNA gives instructions to grow and multiply at a set rate. The instructions tell the cells to die at a set time. In tumor cells, the DNA changes give different instructions. The changes tell the tumor cells to grow and multiply quickly. Tumor cells can keep living when healthy cells would die. This causes too many cells.
Sometimes the changes in the DNA turn the cells into cancer cells. Cancer cells can invade and destroy healthy body tissue. In time, cancer cells can break away and spread to other parts of the body. When cancer spreads, it's called metastatic cancer.","Factors that increase the risk of parotid tumors include:
Increasing age.Parotid tumors can happen at any age. However, they are more common in older adults.
Previous radiation therapy treatments.People who have had radiation therapy to the head and neck area in the past are at a higher risk of parotid tumors.",,
1546,Partial anomalous pulmonary venous return,"Symptoms of partial anomalous pulmonary venous return (PAPVR) can include trouble breathing or fatigue. Sometimes, there are no noticeable symptoms.
Serious congenital heart defects are often diagnosed before or soon after a child is born. If you think that your baby has symptoms of a heart condition, call your child's healthcare professional.
Call your baby's healthcare professional if the baby has trouble breathing or other symptoms ofPAPVR.",,"Changes in the genes, some medicines or health conditions, and environmental factors may play a role. Lifestyle choices, such as smoking during pregnancy, also may increase the risk of congenital heart defects in the baby.","What increases the risk ofPAPVRis not well known. Possible risk factors for congenital heart defects may include:
Diabetes.Having type 1 or type 2 diabetes during pregnancy may change how the unborn baby's heart forms. Diabetes that develops during pregnancy is called gestational diabetes. It generally doesn't increase a baby's risk of congenital heart defects.
Rubella, also called German measles.Having rubella during pregnancy can cause changes in an unborn baby's heart. A blood test can be done before pregnancy to see if you're immune to rubella. If you're not, you can get a vaccine.
Some medicines.Some medicines taken during pregnancy may increase the risk of some congenital heart conditions. These include lithium (Lithobid) for bipolar disorder and isotretinoin (Claravis, Myorisan, others), which is used to treat acne. Talk with a healthcare professional about the medicines you take.
Smoking. If you smoke, quit.Smoking during pregnancy or being around cigarette smoke increases the risk of some congenital heart conditions.
Alcohol use.Drinking alcohol during pregnancy may increase the risk of heart conditions in the baby.",,
1547,Partial anomalous pulmonary venous return,"Symptoms of partial anomalous pulmonary venous return (PAPVR) can include trouble breathing or fatigue. Sometimes, there are no noticeable symptoms.
Serious congenital heart defects are often diagnosed before or soon after a child is born. If you think that your baby has symptoms of a heart condition, call your child's healthcare professional.
Call your baby's healthcare professional if the baby has trouble breathing or other symptoms ofPAPVR.",,"Changes in the genes, some medicines or health conditions, and environmental factors may play a role. Lifestyle choices, such as smoking during pregnancy, also may increase the risk of congenital heart defects in the baby.","What increases the risk ofPAPVRis not well known. Possible risk factors for congenital heart defects may include:
Diabetes.Having type 1 or type 2 diabetes during pregnancy may change how the unborn baby's heart forms. Diabetes that develops during pregnancy is called gestational diabetes. It generally doesn't increase a baby's risk of congenital heart defects.
Rubella, also called German measles.Having rubella during pregnancy can cause changes in an unborn baby's heart. A blood test can be done before pregnancy to see if you're immune to rubella. If you're not, you can get a vaccine.
Some medicines.Some medicines taken during pregnancy may increase the risk of some congenital heart conditions. These include lithium (Lithobid) for bipolar disorder and isotretinoin (Claravis, Myorisan, others), which is used to treat acne. Talk with a healthcare professional about the medicines you take.
Smoking. If you smoke, quit.Smoking during pregnancy or being around cigarette smoke increases the risk of some congenital heart conditions.
Alcohol use.Drinking alcohol during pregnancy may increase the risk of heart conditions in the baby.",,
1548,Parvovirus infection,"Adults with parvovirus infections are more likely to get painful, swollen or stiff joints. Joint symptoms may be more common in women than in men. Most often, these symptoms last about 1 to 3 weeks. Joints that tend to be affected are the hands, wrists, knees, ankles and feet.","Most people with minor parvovirus infections don't need to see a healthcare professional. But some people have conditions that can make the illness worse or lead to other medical problems. Get a healthcare checkup for symptoms of a parvovirus infection if you or your child also has:
Also call your healthcare professional right away if you are pregnant.
A blood condition such as sickle cell anemia.
A weakened immune system.","Parvovirus infection is caused by a virus that spreads from person to person through sneezing, coughing and saliva. Infections can happen through close contact between people and through hand-to-hand contact.
Parvovirus B19 also can spread through blood or blood products. A pregnant person with the virus can pass it to the unborn baby as well.
Parvovirus B19 is most likely to spread early in an infection, when a person has cold-like symptoms. It's not likely to spread after later symptoms such as rashes and joint pain appear. Most often, it's safe to go back to work or school once the rash shows up.",,"A parvovirus infection can lead to other health conditions called complications. The risk of complications is higher for some people, including:
Parvovirus infection also can cause anemia and related complications in:
Parvovirus infection during pregnancy sometimes affects red blood cells in the unborn baby. This isn't common but it can cause severe anemia that could lead to miscarriage or stillbirth. The risk to the baby seems to be highest during the first half of the pregnancy.
Parvovirus infection also can trigger severe anemia in people who have weakened immune systems, which may result from:
Those with blood conditions such as anemia.
Pregnant people.
People with weakened immune systems.
The unborn children of pregnant people who become infected with parvovirus B19.
People who have weakened immune systems.
HIV infection.
Cancers such as leukemia and their treatments.
Organ transplants or medicines that help prevent the body from rejecting transplanted organs.","There's no vaccine to prevent human parvovirus infection. But you can practice healthy habits to lower the chances of getting the illness:
Wash your hands and your child's hands often.
Cover your mouth when you sneeze or cough.
Try not to touch your eyes, nose or mouth.
Stay away from people who are ill. And stay home when you're sick.
Don't share food or drinks."
1549,Patellar tendinitis,"Pain is the first symptom of patellar tendinitis, usually between your kneecap and where the tendon attaches to your shinbone (tibia).
Initially, you may only feel pain in your knee as you begin physical activity or just after an intense workout. Over time, the pain worsens and starts to interfere with playing your sport. Eventually, the pain interferes with daily movements such as climbing stairs or rising from a chair.
Patellar tendinitis causes pain in the patellar tendon, which runs from the kneecap (patella) to the shinbone (tibia).","For knee pain, try self-care measures first, such as icing the area and temporarily reducing or avoiding activities that trigger your symptoms.
Call your doctor if your pain:
Continues or worsens
Interferes with your ability to perform routine daily activities
Is associated with swelling or redness about the joint","Patellar tendinitis is a common overuse injury, caused by repeated stress on your patellar tendon. The stress results in tiny tears in the tendon, which your body attempts to repair.
But as the tears in the tendon multiply, they cause pain from inflammation and weakening of the tendon. When this tendon damage persists for more than a few weeks, it's called tendinopathy.","A combination of factors may contribute to the development of patellar tendinitis, including:
Running and jumping are most commonly associated with patellar tendinitis. Sudden increases in how hard or how often you engage in the activity also add stress to the tendon, as can changing your running shoes.
Tight thigh muscles (quadriceps) and hamstrings, which run up the back of your thighs, can increase strain on your patellar tendon.
If some muscles in your legs are much stronger than others, the stronger muscles could pull harder on your patellar tendon. This uneven pull could cause tendinitis.","If you try to work through your pain, ignoring your body's warning signs, you could cause increasingly larger tears in the patellar tendon. Knee pain and reduced function can persist if you don't tend to the problem, and you may progress to the more serious patellar tendinopathy.","To reduce your risk of developing patellar tendinitis, take these steps:"
1550,Patellofemoral pain syndrome,"Patellofemoral pain syndrome usually causes a dull, aching pain in the front of the knee. The following can increase the pain:
Walking up or down stairs.
Kneeling or squatting.
Sitting with a bent knee for long periods of time.",,"Patellofemoral pain syndrome can have several causes. It's been linked with:
Overuse.Running or jumping sports put repeated stress on the knee joint, which can cause irritation under the kneecap.
Muscle imbalances or weaknesses.Patellofemoral pain can occur when the muscles around the hip and knee don't keep the kneecap in line. Moving the knee inward during a squat has been linked to patellofemoral pain.
Injury.Trauma to the kneecap, such as when the kneecap gets out of place or breaks, has been linked to patellofemoral pain syndrome.
Surgery.Knee surgery can increase the risk of patellofemoral pain. This is especially true of repair to the anterior cruciate ligament using one's own patellar tendon as a graft.","Factors that can increase your risk include:
Age.Patellofemoral pain syndrome typically affects teens and young adults. Arthritis is more often to blame for knee problems in older people.",,"Sometimes knee pain just happens. But certain steps may help prevent the pain.
Build strength.Strong leg and hip muscles help keep the knee balanced during activity. Avoid deep squatting during weight training.
Build up slowly.Don't suddenly increase your workouts.
Mind your shoes.Wear shoes that fit well and are designed for the activity."
1551,Patent ductus arteriosus (PDA),"Patent ductus arteriosus symptoms (PDA) depend on the size of the opening and the person's age. A smallPDAmight not cause symptoms. Some people don't notice symptoms until adulthood. A largePDAcan cause symptoms of heart failure soon after birth.
A largePDAfound during infancy or childhood might cause:
Poor eating, which leads to poor growth.
Sweating with crying or eating.
Constant fast breathing or being out of breath.
Easy tiring.
Rapid heart rate.","Contact a healthcare professional if your baby or older child:
Tires easily when eating or playing.
Isn't gaining weight.
Becomes breathless when eating or crying.
Always breathes fast or is short of breath.","After birth, the ductus arteriosus is no longer needed. It usually closes within 2 to 3 days. But in some infants, the opening doesn't close. When it stays open, it's called a patent ductus arteriosus.","Risk factors for patent ductus arteriosus (PDA) include:
Premature birth.Patent ductus arteriosus occurs more commonly in babies who are born too early than in babies who are born full term.
German measles during pregnancy.Having German measles, also called rubella, during pregnancy can cause changes in an unborn baby's heart. A blood test done before pregnancy can tell if you're immune to rubella. A vaccine is available for those who aren't immune.
Being born at a high altitude.Babies born above 8,200 feet (2,499 meters) have a greater risk ofPDAthan babies born at lower altitudes.","A small patent ductus arteriosus might not cause complications. Larger, untreatedPDAscould cause:
Heart failure.Symptoms of this serious complication include rapid breathing, often with gasping breaths, and poor weight gain.
Heart infection, called endocarditis.Patent ductus arteriosus can increase the risk of germs attaching to areas in the heart. Without quick treatment, endocarditis can damage or destroy the heart valves.","There is no known prevention for patent ductus arteriosus. However, it's important to do everything possible to have a healthy pregnancy. Here are some of the basics:
Get early prenatal care, even before you're pregnant.If you're thinking about pregnancy, talk with your healthcare team to develop a prenatal care plan. Also tell your healthcare professional about all the medicines you take, including those bought without a prescription.
Start taking folic acid.Taking 400 micrograms of folic acid daily before and during pregnancy has been shown to reduce brain and spinal cord conditions in the baby. It also may help reduce the risk of heart conditions.
Do not drink alcohol or smoke.These lifestyle habits can harm a baby's health. Also avoid secondhand smoke.
Get recommended vaccines.Update your vaccinations before becoming pregnant. Certain types of infections can be harmful to a developing baby.
Control blood sugar.If you have diabetes, good control of your blood sugar may reduce the risk of certain heart conditions present at birth in your baby."
1552,Patent foramen ovale,Patent foramen ovale occurs in about 1 in 4 people. Most people with the condition never know they have it. A patent foramen ovale is often discovered during tests for other health problems.,,"It's unclear why the foramen ovale stays open in some people. Genetics may play a role.
A typical heart has two upper and two lower chambers. The upper chambers, the right and left atria, receive incoming blood. The lower chambers, the more muscular right and left ventricles, pump blood out of the heart. The heart valves, which keep blood flowing in the right direction, are gates at the chamber openings.
A patent foramen ovale is a small, flaplike opening in the wall between the upper chambers of the heart. It usually causes no symptoms and rarely requires treatment.
To understand more about patent foramen ovale, it may be helpful to know how the heart typically works.
The typical heart has four chambers that pump blood:",,"A patent foramen ovale, also called a PFO usually doesn't cause complications. Some people with a PFO may have other heart defects
Possible complications of patent foramen ovale may include:
Sometimes small blood clots in veins may travel to the heart. They may go through a patent foramen ovale and into the left side of the heart. From there, they can travel to the brain and block blood flow, causing an ischemic stroke.",
1553,Compulsive gambling,"Signs and symptoms of compulsive gambling (gambling disorder) can include:
Most casual gamblers stop when losing or set a limit on how much they're willing to lose. But people with a compulsive gambling problem are compelled to keep playing to recover their money — a pattern that becomes increasingly destructive over time. Some people may turn to theft or fraud to get gambling money.
Some people with a compulsive gambling problem may have periods of remission — a length of time where they gamble less or not at all. But without treatment, the remission usually isn't permanent.
Being preoccupied with gambling, such as constantly planning gambling activities and how to get more gambling money
Needing to gamble with increasing amounts of money to get the same thrill
Trying to control, cut back or stop gambling, without success
Feeling restless or irritable when you try to cut down on gambling
Trying to get back lost money by gambling more (chasing losses)
Asking others to bail you out of financial trouble because you gambled money away",,,"Although most people who play cards or wager never develop a gambling problem, certain factors are more often associated with compulsive gambling:
Compulsive gambling is more common in younger and middle-aged people. Gambling during childhood or the teenage years increases the risk of developing compulsive gambling. But compulsive gambling in the older adult population can also be a problem.
Compulsive gambling is more common in men than women. Women who gamble typically start later in life and may become addicted more quickly. But gambling patterns among men and women have become increasingly similar.
If your family members or friends have a gambling problem, the chances are greater that you will, too.
Drugs called dopamine agonists have a rare side effect that may result in compulsive behaviors, including gambling, in some people.
Being highly competitive, a workaholic, impulsive, restless or easily bored may increase your risk of compulsive gambling.","Compulsive gambling can have profound and long-lasting consequences for your life, such as:
Relationship problems
Financial problems, including bankruptcy
Legal problems or imprisonment
Poor work performance or job loss
Poor general health
Suicide, suicide attempts or suicidal thoughts","Although there's no proven way to prevent a gambling problem, educational programs that target individuals and groups at increased risk may be helpful.
If you have risk factors for compulsive gambling, consider avoiding gambling in any form, people who gamble and places where gambling occurs. Get treatment at the earliest sign of a problem to help prevent gambling from becoming worse."
1554,Pseudobulbar affect,"If you think you have PBA, talk to your doctor. If you have a neurological condition, you might already be treated by a doctor who can diagnose PBA. Helpful specialists include neuropsychologists, neurologists and psychiatrists.
It's suspected that many cases of pseudobulbar affect go unreported and undiagnosed due to a lack of awareness about the condition.",,"Pseudobulbar affect (PBA) typically occurs in people with neurological conditions or injuries, including:
Stroke
Amyotrophic lateral sclerosis (ALS)
Multiple sclerosis (MS)
Traumatic brain injury
Alzheimer's disease
Parkinson's disease",,,
1555,Kleptomania,"Kleptomania symptoms may include:
Inability to resist powerful urges to steal items that you don't need
Feeling pleasure, relief or satisfaction while stealing
Feeling terrible guilt, remorse, self-loathing, shame or fear of arrest after the theft
Return of the urges and a repetition of the kleptomania cycle","If you can't stop shoplifting or stealing, seek medical advice. Many people who may have kleptomania don't want to seek treatment because they're afraid they'll be arrested or jailed. However, a mental health provider usually doesn't report your thefts to authorities.
Some people seek medical help because they're afraid they'll get caught and have legal problems. Or they've already been arrested, and they're legally required to seek treatment.","The causes of kleptomania are not known. Several theories suggest that changes in the brain may be at the root of kleptomania, and that learned patterns of stealing items strengthens the problem over time. More research is needed to better understand these possible causes, but kleptomania may be linked to:
Problems with a naturally occurring brain chemical called serotonin.Serotonin, a neurotransmitter, helps regulate moods and emotions. Low levels of serotonin are common in people prone to impulsive behaviors.
Addictive disorders.Stealing may cause the release of dopamine — another neurotransmitter. Dopamine causes pleasurable feelings, and some people seek this rewarding feeling again and again.
The brain's opioid system.Urges are regulated by the brain's opioid system. An imbalance in this system could make it harder to resist urges.
Learned habit.Urges are very uncomfortable. Responding to these urges by stealing causes a temporary decrease in distress and relief from these urges. This creates a strong habit that becomes hard to break.","Kleptomania is not common. But some cases of kleptomania may never be diagnosed. Some people never seek treatment. Other people are jailed after repeated thefts.
Kleptomania often begins during the teen years or in young adulthood, but it can start later. About two-thirds of people with known kleptomania are female.
Kleptomania risk factors may include:
Family history.Having a blood relative, such as a parent or sibling, with kleptomania or addictive disorders may increase the risk of kleptomania.","Other complications and conditions associated with kleptomania may include:
Other impulse-control disorders, such as compulsive gambling or shopping
Alcohol or other substance misuse
Personality disorders
Eating disorders
Bipolar disorder
Suicidal thoughts and behaviors","Because the causes of kleptomania aren't clear, it's not yet known how to prevent it with any certainty. Getting treatment as soon as compulsive stealing begins may help prevent kleptomania from becoming worse and prevent some of the negative consequences."
1556,Pseudobulbar affect,"If you think you have PBA, talk to your doctor. If you have a neurological condition, you might already be treated by a doctor who can diagnose PBA. Helpful specialists include neuropsychologists, neurologists and psychiatrists.
It's suspected that many cases of pseudobulbar affect go unreported and undiagnosed due to a lack of awareness about the condition.",,"Pseudobulbar affect (PBA) typically occurs in people with neurological conditions or injuries, including:
Stroke
Amyotrophic lateral sclerosis (ALS)
Multiple sclerosis (MS)
Traumatic brain injury
Alzheimer's disease
Parkinson's disease",,,
1557,Polycystic ovary syndrome (PCOS),"Symptoms ofPCOSoften start around the time of the first menstrual period. Sometimes symptoms develop later after you have had periods for a while.
The symptoms ofPCOSvary. A diagnosis ofPCOSis made when you have at least two of these:
Polycystic ovaries.Your ovaries might be bigger. Many follicles containing immature eggs may develop around the edge of the ovary. The ovaries might not work the way they should.
PCOSsigns and symptoms are typically more severe in people with obesity.",,"Insulin resistance.Insulin is a hormone that the pancreas makes. It allows cells to use sugar, your body's primary energy supply. If cells become resistant to the action of insulin, then blood sugar levels can go up. This can cause your body to make more insulin to try to bring down the blood sugar level.Too much insulin might cause your body to make too much of the male hormone androgen. You could have trouble with ovulation, the process where eggs are released from the ovary.One sign of insulin resistance is dark, velvety patches of skin on the lower part of the neck, armpits, groin or under the breasts. A bigger appetite and weight gain may be other signs.
Low-grade inflammation.White blood cells make substances in response to infection or injury. This response is called low-grade inflammation. Research shows that people withPCOShave a type of long-term, low-grade inflammation that leads polycystic ovaries to produce androgens. This can lead to heart and blood vessel problems.
Heredity.Research suggests that certain genes might be linked toPCOS. Having a family history ofPCOSmay play a role in developing the condition.",,"Complications ofPCOScan include:
Infertility
Miscarriage or premature birth
Nonalcoholic steatohepatitis — a severe liver inflammation caused by fat buildup in the liver
Type 2 diabetes or prediabetes
Sleep apnea
Cancer of the uterine lining (endometrial cancer)
Obesity commonly occurs withPCOSand can worsen complications of the disorder.",
1558,Patent ductus arteriosus (PDA),"Patent ductus arteriosus symptoms (PDA) depend on the size of the opening and the person's age. A smallPDAmight not cause symptoms. Some people don't notice symptoms until adulthood. A largePDAcan cause symptoms of heart failure soon after birth.
A largePDAfound during infancy or childhood might cause:
Poor eating, which leads to poor growth.
Sweating with crying or eating.
Constant fast breathing or being out of breath.
Easy tiring.
Rapid heart rate.","Contact a healthcare professional if your baby or older child:
Tires easily when eating or playing.
Isn't gaining weight.
Becomes breathless when eating or crying.
Always breathes fast or is short of breath.","After birth, the ductus arteriosus is no longer needed. It usually closes within 2 to 3 days. But in some infants, the opening doesn't close. When it stays open, it's called a patent ductus arteriosus.","Risk factors for patent ductus arteriosus (PDA) include:
Premature birth.Patent ductus arteriosus occurs more commonly in babies who are born too early than in babies who are born full term.
German measles during pregnancy.Having German measles, also called rubella, during pregnancy can cause changes in an unborn baby's heart. A blood test done before pregnancy can tell if you're immune to rubella. A vaccine is available for those who aren't immune.
Being born at a high altitude.Babies born above 8,200 feet (2,499 meters) have a greater risk ofPDAthan babies born at lower altitudes.","A small patent ductus arteriosus might not cause complications. Larger, untreatedPDAscould cause:
Heart failure.Symptoms of this serious complication include rapid breathing, often with gasping breaths, and poor weight gain.
Heart infection, called endocarditis.Patent ductus arteriosus can increase the risk of germs attaching to areas in the heart. Without quick treatment, endocarditis can damage or destroy the heart valves.","There is no known prevention for patent ductus arteriosus. However, it's important to do everything possible to have a healthy pregnancy. Here are some of the basics:
Get early prenatal care, even before you're pregnant.If you're thinking about pregnancy, talk with your healthcare team to develop a prenatal care plan. Also tell your healthcare professional about all the medicines you take, including those bought without a prescription.
Start taking folic acid.Taking 400 micrograms of folic acid daily before and during pregnancy has been shown to reduce brain and spinal cord conditions in the baby. It also may help reduce the risk of heart conditions.
Do not drink alcohol or smoke.These lifestyle habits can harm a baby's health. Also avoid secondhand smoke.
Get recommended vaccines.Update your vaccinations before becoming pregnant. Certain types of infections can be harmful to a developing baby.
Control blood sugar.If you have diabetes, good control of your blood sugar may reduce the risk of certain heart conditions present at birth in your baby."
1559,Peanut allergy,"Skin reactions, such as hives, redness or swelling.
Itching or tingling in or around the mouth and throat.
Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting.
Tightening of the throat.
Shortness of breath or wheezing.
Runny nose.","Talk to your care team if you have had any signs or symptoms of peanut allergy. Seek emergency treatment if you have a severe reaction to peanuts.
Severe dizziness.
Severe trouble breathing.
Loss of consciousness.","Direct and cross-contact with peanuts could cause a reaction:
Direct contact.The most common cause of peanut allergy is eating peanuts or foods that contain peanuts.
Inhalation.Breathing in dust or aerosols containing peanuts, such as peanut flour, may cause an allergic reaction.","It isn't clear why some people develop allergies while others don't. However, people with certain risk factors have a greater chance of developing peanut allergy.
Peanut allergy risk factors include:
Age.Food allergies are most common in children, especially toddlers and infants. As a person grows, the digestive system matures. Then the body is less likely to react to food that triggers allergies.
Past allergy to peanuts.Some children with peanut allergy outgrow it, though it can recur. So be cautious even if you seem to have outgrown peanut allergy.
Other allergies.If you're already allergic to one food, you have a higher risk of being allergic to another. Also, having another type of allergy, such as hay fever, raises your risk of having a food allergy.
Family members with allergies.Your risk of peanut allergy is higher if other allergies are common in your family, especially other food allergies.
Atopic dermatitis.Some people with the skin condition atopic dermatitis, also called eczema, have a food allergy as well.",,
1560,Pectus excavatum,"A fast-beating, fluttering or pounding heart.
Chest pain.
Loss of endurance that becomes worse over time.
Fainting or dizziness.
Frequent infections of the upper airway.
Stress and concern about how the chest looks.",,,"Living with a connective tissue condition such as Marfan syndrome, Ehlers-Danlos syndrome or osteogenesis imperfecta.
Having a genetic condition such as Noonan syndrome or Turner syndrome.",,
1561,Pediatric brain tumors,"Pediatric brain tumor symptoms may vary depending on the tumor's location within the brain. Symptoms also might depend on the size of the tumor and how quickly it's growing.
Some of the more common signs and symptoms of pediatric brain tumors include:
Headaches, which may become more frequent and more severe. In children who don't talk, a parent might notice that the child is more irritable than usual.
Nausea and vomiting.
Vision changes, such as double vision. In children who don't talk, a parent might notice that a child squints or covers one eye when trying to look at something.
Other possible signs and symptoms include:
A fuller soft spot on the skull in babies.
Changes in the way the eyes move.
Confusion and irritability.
Difficulty with balance.
Hearing problems.
Memory problems.
Personality or behavior changes.
Seizures, especially in a child who hasn't had a seizure before.
Slurred speech.
Trouble walking.
Trouble swallowing.
Weakness or drooping on one side on the face.
Weakness or loss of sensation in an arm or a leg.",Make an appointment with your child's doctor or other healthcare professional if your child has symptoms that worry you.,"Most of the time, the cause of a pediatric brain tumor isn't known.
Pediatric brain tumors start when cells in the brain develop changes in their DNA. A cell's DNA holds the instructions that tell a cell what to do. In healthy cells, the DNA gives instructions to grow and multiply at a set rate. The instructions tell the cells to die at a set time. In tumor cells, the DNA changes give different instructions. The changes tell the tumor cells to make many more cells quickly. Tumor cells can keep living when healthy cells would die. This causes too many cells.
Some tumor cells develop other DNA changes that turn them into cancer cells. Cancer cells can invade and destroy healthy tissue. Sometimes cancer cells can break away and spread beyond the brain. If brain cancer spreads, it tends to go to the fluid that surrounds the brain and spinal cord. This fluid is called cerebrospinal fluid.",Factors that may increase the risk of pediatric brain tumors include:,,"There's no way to prevent pediatric brain tumors. If your child develops a brain tumor, you didn't do anything to cause it."
