Disease Name,Symptoms
Menopause,"Most often, menopause happens over time. The months or years leading up to menopause are called perimenopause or the menopausal transition.
During the transition, the amount of hormones your ovaries make varies. Perimenopause can last 2 to 8 years. The average is about four years.
The hormone changes can cause symptoms such as:
Irregular periods.
Vaginal dryness.
Hot flashes.
Night sweats.
Sleep problems.
Mood changes.
Trouble finding words and remembering, often called brain fog.
Different people have different menopause symptoms. Most often, periods are not regular before they end.
Period cycles tend to get shorter in early perimenopause, so periods are closer together. As menopause gets closer, periods get farther apart for months before they end.
You can still get pregnant during this time. If you've skipped a period but aren't sure it's due to menopause, think about taking a pregnancy test."
Heavy menstrual bleeding,"Symptoms of heavy menstrual bleeding may include:
Soaking through one or more sanitary pads or tampons every hour for several hours in a row.
Needing double sanitary protection to control your menstrual flow.
Getting up at night to change sanitary pads or tampons.
Bleeding for more than a week.
Passing blood clots larger than a quarter.
Limiting daily activities due to heavy menstrual flow.
Feeling tired, fatigued or short of breath as the result of blood loss."
Menstrual cramps,"Symptoms of menstrual cramps include:
Some women also have:
Throbbing or cramping pain in your lower abdomen that can be intense
Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days
Dull, continuous ache
Pain that radiates to your lower back and thighs
Nausea
Loose stools
Headache
Dizziness"
Mental illness,"Signs and symptoms of mental illness can vary, depending on the disorder, circumstances and other factors. Mental illness symptoms can affect emotions, thoughts and behaviors.
Feeling sad or down
Confused thinking or reduced ability to concentrate
Withdrawal from friends and activities
Significant tiredness, low energy or problems sleeping
Detachment from reality (delusions), paranoia or hallucinations
Inability to cope with daily problems or stress
Trouble understanding and relating to situations and to people
Problems with alcohol or drug use
Major changes in eating habits
Suicidal thinking"
Meralgia paresthetica,"Meralgia paresthetica may cause these symptoms in the outer part of the thigh:
Tingling.
Burning pain.
Decreased feeling or numbness.
Increased sensitivity and pain to even a light touch.
These symptoms commonly occur on one side of your body and might intensify after walking or standing."
Merkel cell carcinoma,"The first symptom of Merkel cell carcinoma most often is a growth on the skin. This skin cancer can happen anywhere on the body. It happens most often on skin that typically gets sunlight. In white people, the growth is most likely to be on the head or neck. In Black people, the growth more often is on the legs.
A Merkel cell carcinoma can cause:
A bump on the skin that often is painless.
A bump that grows quickly.
A bump whose two sides don't match.
A bump that looks pink, purple, red-brown, or the same color as the skin around it."
Mesenteric lymphadenitis,"Possible symptoms of mesenteric lymphadenitis include:
Pain in the stomach area, often on the lower right side, but the pain can be more spread out.
General tenderness of the stomach area.
Fever.
Enlarged mesenteric lymph nodes.
Depending on what's causing the condition, symptoms also might include:
Diarrhea.
Nausea and vomiting."
Mesothelioma,"Signs and symptoms of mesothelioma depend on where the cancer starts.
Pleural mesotheliomaaffects the tissue around the lungs. Symptoms may include:
Chest pain.
Painful coughing.
Shortness of breath.
Lumps under the skin on the chest.
Tiredness.
Weight loss without trying.
Peritoneal mesotheliomaaffects tissue in the belly. Symptoms may include:
Belly pain.
Belly swelling.
Nausea.
Tiredness.
Weight loss without trying.
Other types of mesotheliomaare very rare. Not as much is known about these other types.
Pericardial mesothelioma affects tissue around the heart. It may cause trouble breathing and chest pains.
Mesothelioma of tunica vaginalis affects tissue around the testicles. It may first appear as swelling or a mass on a testicle."
Nonalcoholic fatty liver disease,"NAFLDoften has no symptoms. When it does, they may include:
Fatigue.
Not feeling well, or malaise.
Pain or discomfort in the upper right belly area.
Possible symptoms ofNASHand cirrhosis, or severe scarring, include:
Itchy skin.
Abdominal swelling, also called ascites (uh-SY-teez).
Shortness of breath.
Swelling of the legs.
Spider-like blood vessels just beneath the skin's surface.
Enlarged spleen.
Red palms.
Yellowing of the skin and eyes, or jaundice."
Nonalcoholic fatty liver disease,"NAFLDoften has no symptoms. When it does, they may include:
Fatigue.
Not feeling well, or malaise.
Pain or discomfort in the upper right belly area.
Possible symptoms ofNASHand cirrhosis, or severe scarring, include:
Itchy skin.
Abdominal swelling, also called ascites (uh-SY-teez).
Shortness of breath.
Swelling of the legs.
Spider-like blood vessels just beneath the skin's surface.
Enlarged spleen.
Red palms.
Yellowing of the skin and eyes, or jaundice."
Metabolic syndrome,"A large waist size can point to metabolic syndrome. Also, people with high blood sugar might notice symptoms of diabetes. These include being thirstier than usual, urinating more than usual, being tired and having blurred vision."
Metachromatic leukodystrophy,"Damage to the protective myelin covering the nerves results in progressive worsening of brain and nervous system functions, including:
Loss of the ability to detect sensations, such as touch, pain, heat and sound
Loss of intellectual, thinking and memory skills
Loss of motor skills, such as walking, moving, speaking and swallowing
Stiff, rigid muscles, poor muscle function and paralysis
Loss of bladder and bowel function
Gallbladder problems
Blindness
Hearing loss
Seizures
Emotional and behavioral problems, including unstable emotions and substance misuse
Each form of metachromatic leukodystrophy occurs at a different age and can have different initial signs and symptoms and rates of progression:
Late infantile form.This is the most common form of metachromatic leukodystrophy, starting around 2 years of age or younger. Progressive loss of speech and muscle function occurs rapidly. Children with this form often do not survive beyond childhood.
Juvenile form.This is the second most common form and starts in children between 3 and 16 years of age. Early signs are behavior and cognitive problems and increasing difficulty in school. Loss of the ability to walk may occur. Although the juvenile form doesn't progress as fast as the late infantile form, survival is generally less than 20 years after symptoms begin.
Adult form.This form is less common and typically starts after age 16. Signs progress slowly and may begin with behavior and psychiatric problems, drug and alcohol misuse, and issues with school and work. Psychotic symptoms such as delusions and hallucinations may occur. The course of this form varies, with periods of stable symptoms and periods of rapid decline in functioning. Adults may survive for several decades after initial symptoms."
Metastatic prostate cancer,"Metastatic prostate cancer doesn't always cause symptoms. As the cancer grows and becomes more advanced, symptoms might happen. Signs and symptoms of metastatic prostate cancer can include:
Feeling very tired.
Having to urinate more often or feeling pain when urinating.
Losing weight without trying.
Nausea and vomiting.
Pain, which might be felt in the back, hips, pelvic area or in a bone. The pain tends to get worse over time."
Metatarsalgia,"Symptoms of metatarsalgia can include:
in the ball of the foot. The ball is the part of the sole just behind the toes.
numbness or tingling in the toes.
having a pebble in the shoe of the affected foot."
MRSA infection,"Staph skin infections, includingMRSA, generally start as swollen, painful red bumps that might look like pimples or spider bites. The affected area might be:
infections start out as small red bumps that can quickly turn into deep, painful abscesses.
These red bumps can quickly turn into deep, painful boils (abscesses) that require surgical draining. Sometimes the bacteria remain confined to the skin. But they can also burrow deep into the body, causing potentially life-threatening infections in bones, joints, surgical wounds, the bloodstream, heart valves and lungs.
Warm to the touch
Full of pus or other drainage
Accompanied by a fever"
Myxofibrosarcoma,"A painless lump on an arm or leg.
A lump that grows slowly."
Myasthenia gravis,"Muscle weakness caused by myasthenia gravis gets worse when the affected muscle is used. Because symptoms usually get better with rest, muscle weakness can come and go. However, the symptoms tend to progress over time. They usually reach their worst within a few years after the disease begins.
Myasthenia gravis may affect any of the muscles that you can control. Certain muscle groups are more commonly affected than others."
Monoclonal gammopathy of undetermined significance (MGUS),"People with monoclonal gammopathy often don't have symptoms. Some people have a rash or nerve problems, such as numbness or tingling. A blood test for another condition might findMGUSby chance."
Microcephaly,"Head size is a measure of the distance around the top of the child's head (circumference). Using standardized growth charts, health care providers compare the measurement with other children's measurements in percentiles.
A child with more-severe microcephaly may also have a sloping forehead."
Microscopic colitis,"Symptoms of microscopic colitis include:
Watery diarrhea.
Belly pain, cramps or bloating.
Weight loss.
Nausea.
Not being able to control bowel movements, called fecal incontinence.
The body not having enough water, called dehydration.
The symptoms of microscopic colitis can come and go. At times, symptoms improve on their own."
Blood in urine (hematuria),"Blood in the urine can look pink, red or cola-colored. Red blood cells cause the urine to change color. It takes only a small amount of blood to turn urine red.
The bleeding often isn't painful. But if blood clots get passed in the urine, that can hurt."
Migraine,"Migraines, which affect children and teenagers as well as adults, can progress through four stages: prodrome, aura, attack and post-drome. Not everyone who has migraines goes through all stages."
Migraine with aura,"Most people who have migraine with aura develop temporary visual signs and symptoms, which tend to start in the center of the field of vision and spread outward. These might include:
Blind spots (scotomas), which are sometimes outlined by simple geometric designs
Zigzag lines that gradually float across your field of vision
Shimmering spots or stars
Changes in vision or vision loss
Flashes of light"
Mild cognitive impairment (MCI),"People with MCI may have symptoms that include:
Forgetting things more often.
Losing their train of thought. Or not following the plot of a book or movie.
Trouble following a conversation.
Trouble finding the right word or with language.
Finding it hard to make decisions, finish a task or follow instructions.
Trouble finding their way around places they know well.
Poor judgment.
Changes that are noticed by family and friends.
A short temper and aggression.
A lack of interest."
Heat rash,"Adults usually develop heat rash in skin folds and where clothing rubs against the skin. In infants, the rash is mainly found on the neck, shoulders and chest. It can also show up in the armpits, elbow creases and groin.
Eccrine sweat glands occur over most of the body and open directly onto the skin's surface. Apocrine glands open into the hair follicle, leading to the surface of the skin. Apocrine glands develop in areas with many hair follicles, such as on the scalp, armpits and groin. Eccrine sweat glands are involved in hyperhidrosis, though apocrine glands may play a role as well.
The types of heat rash are classified according to how deep the sweat is trapped in the skin. Signs and symptoms for each type vary.
The mildest form of heat rash is called miliaria crystallina. It occurs when the opening of the sweat duct on the surface of the skin (sweat pore) is blocked. This form is marked by tiny, clear, fluid-filled bumps that break easily.
A type that occurs deeper in the skin is called miliaria rubra. It is sometimes called prickly heat. Signs and symptoms include small, inflamed blister-like bumps and itching or prickling in the affected area.
Occasionally, the inflamed bumps of miliaria rubra fill with pus. This form is called miliaria pustulosa.
A less common form of heat rash is called miliaria profunda. It affects the deepest layer of the skin (dermis). It causes firm, painful or itchy inflamed bumps that look like goose bumps and may break open."
Milk allergy,"Milk allergy symptoms, which differ from person to person, occur a few minutes to a few hours after you or your child drinks milk or eats milk products.
Immediate signs and symptoms of milk allergy might include:
Signs and symptoms that may take more time to develop include:
A true milk allergy differs from milk protein intolerance and lactose intolerance. Unlike milk allergy, intolerance doesn't involve the immune system. Milk intolerance requires different treatment from true milk allergy.
Common signs and symptoms of milk protein intolerance or lactose intolerance include digestive problems, such as bloating, gas or diarrhea, after consuming milk or products containing milk.
If you or your child has a reaction to milk, tell your health care provider, no matter how mild the reaction. Tests can help confirm milk allergy, so you can avoid future and potentially worse reactions.
Hives
Wheezing
Itching or tingling feeling around the lips or mouth
Swelling of the lips, tongue or throat
Coughing or shortness of breath
Vomiting
Loose stools or diarrhea, which may contain blood
Abdominal cramps
Runny nose
Watery eyes
Colic, in babies
Constriction of airways, including a swollen throat that makes it difficult to breathe
Facial flushing
Itching"
Lactose intolerance,"The signs and symptoms of lactose intolerance usually begin from 30 minutes to two hours after eating or drinking foods that contain lactose. Common signs and symptoms include:
Diarrhea
Nausea, and sometimes, vomiting
Stomach cramps
Bloating
Gas"
Miscarriage,"Most miscarriages happen during the first trimester of pregnancy, which is about the first 13 weeks.
The symptoms can include:
Bleeding from the vagina with or without pain, including light bleeding called spotting.
Pain or cramping in the pelvic area or lower back.
Fluid or tissue passing from the vagina.
Fast heartbeat.
Keep in mind that most pregnant people who have vaginal spotting or bleeding in the first trimester go on to have successful pregnancies. But call your pregnancy care team right away if your bleeding is heavy or happens with cramping pain."
Mitral valve disease,"Some people with mitral valve disease might not have symptoms for many years, if at all.
Symptoms of mitral valve disease can include:
Fatigue.
Irregular heartbeat.
Shortness of breath."
Mitral valve prolapse,"Signs and symptoms of mitral valve prolapse are due to the amount of blood leaking backward through the valve.
Mitral valve prolapse symptoms can vary widely from one person to another. Many people with mitral valve prolapse don't have noticeable symptoms. Other people may have mild symptoms that develop gradually.
Symptoms of mitral valve prolapse may include:
A racing or irregular heartbeat (arrhythmia)
Dizziness or lightheadedness
Fatigue"
Mitral valve regurgitation,"Mitral valve regurgitation is often mild and develops slowly. Some people do not have symptoms for many years.
But sometimes, mitral valve regurgitation develops quickly. When this happens, it's called acute mitral valve regurgitation.
Fatigue is a common but nonspecific symptom of mitral valve regurgitation. Other symptoms of mitral valve regurgitation include:
Irregular heartbeat, called an arrhythmia.
Shortness of breath, especially when lying down.
Feelings of a rapid, pounding or fluttering heartbeat, called palpitations.
Swollen feet or ankles."
Mitral valve stenosis,"Mitral valve stenosis usually worsens slowly. You may not have any symptoms, or you may have mild ones for many years. Symptoms of mitral valve stenosis can occur at any age, even during childhood.
Symptoms of mitral valve stenosis include:
Shortness of breath, especially with activity or when you lie down.
Fatigue, especially during increased activity.
Swollen feet or legs.
Pounding, skipping or otherwise irregular heartbeats, called arrhythmias.
Dizziness or fainting.
Fluid buildup in the lungs.
Chest discomfort or chest pain.
Coughing up blood."
Mittelschmerz,"Mittelschmerz pain usually lasts a few minutes to a few hours, but it may continue for as long as a day or two. Pain from mittelschmerz may be:
On one side of your lower abdomen
Dull and achy, similar to menstrual cramps
Sharp and sudden
Accompanied by slight vaginal bleeding or discharge
Rarely, severe
Mittelschmerz pain occurs on the side of the ovary that's releasing an egg (ovulating). The pain may switch sides every other month, or you may feel pain on the same side for several months.
Keep track of your menstrual cycle for several months and note when you feel lower abdominal pain. If it occurs midcycle and goes away without treatment, it's most likely mittelschmerz."
Mixed connective tissue disease,"This can include increased fatigue and a mild fever.
In response to cold or stress, your fingers or toes might turn white and then purplish blue. After warming, the fingers or toes turn red.
Some people have swelling of the fingers.
Joints can become inflamed, swollen and deformed, similar to what occurs with rheumatoid arthritis.
Red or reddish brown patches can appear over the knuckles."
Myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD),"MOGADcauses painful swelling, known as inflammation. Symptoms are caused by attacks from:
Inflammation of the optic nerve.Called optic neuritis, this condition may lead to vision loss in one or both eyes and eye pain that gets worse with eye movement. Optic neuritis in children may be mistaken for a headache.
Inflammation of the brain and spinal cord.Called acute disseminated encephalomyelitis, also known as ADEM, this condition may lead to vision loss, weakness, unsteady walk and confusion.ADEMis more common in children withMOGAD.
Other symptoms ofMOGADmay include:
Seizures.
Headaches.
Fever."
Myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD),"MOGADcauses painful swelling, known as inflammation. Symptoms are caused by attacks from:
Inflammation of the optic nerve.Called optic neuritis, this condition may lead to vision loss in one or both eyes and eye pain that gets worse with eye movement. Optic neuritis in children may be mistaken for a headache.
Inflammation of the brain and spinal cord.Called acute disseminated encephalomyelitis, also known as ADEM, this condition may lead to vision loss, weakness, unsteady walk and confusion.ADEMis more common in children withMOGAD.
Other symptoms ofMOGADmay include:
Seizures.
Headaches.
Fever."
Molar pregnancy,"A molar pregnancy may seem like a regular pregnancy at first. But most molar pregnancies cause symptoms that can include:
Dark brown to bright red bleeding from the vagina during the first three months
Severe nausea and vomiting
Sometimes grapelike cysts that pass from the vagina
Because of improved ways of detecting a molar pregnancy, most are found in the first trimester. If it is not found in the first three months, symptoms of a molar pregnancy might include:
A uterus growing quickly and being too large early in the pregnancy
Ovarian cysts
Overactive thyroid, also known as hyperthyroidism"
Mold allergy,"A mold allergy causes the same signs and symptoms that occur in other types of upper respiratory allergies. Signs and symptoms of allergic rhinitis caused by a mold allergy can include:
Mold allergy symptoms vary from person to person and range from mild to severe. You might have year-round symptoms or symptoms that flare up only during certain times of the year. You might notice symptoms when the weather is damp or when you're in indoor or outdoor spaces that have high concentrations of mold.
Sneezing
Runny or stuffy nose
Cough and postnasal drip
Itchy eyes, nose and throat
Watery eyes
Dry, scaly skin
Coughing
Wheezing
Shortness of breath
Chest tightness"
Moles,"The typical mole is a small brown spot. But moles come in different colors, shapes and sizes:
Shape.Most moles are oval or round.
Size.Moles are typically less than 1/4 inch (about 6 mm) in diameter — the size of a pencil eraser. Those present at birth, known as congenital nevi, can be bigger and cover part of the face, trunk or a limb.
Moles can grow anywhere on your body, including your scalp and armpits, as well as under your nails and between your fingers and toes. Most people have 10 to 45 moles. Many of these moles occur by age 40. Moles may change or fade away over time. They may become darker and larger with hormonal changes that occur during the teenage years and while pregnant."
Molluscum contagiosum,"Molluscum contagiosum signs and symptoms include:
Raised, round, skin-colored bumps
Small bumps — typically under about 1/4 inch (smaller than 6 millimeters) in diameter
Bumps with a small dent or dot at the top near the center
Itchy, pink bumps
Bumps on the face, trunk, arms or legs of children"
Mononucleosis,"Signs and symptoms of mononucleosis may include:
If your symptoms don't get better on their own in a week or two, see your doctor.
Fatigue
Sore throat, perhaps misdiagnosed as strep throat, that doesn't get better after treatment with antibiotics
Fever
Swollen lymph nodes in your neck and armpits
Swollen tonsils
Headache
Skin rash
Soft, swollen spleen"
Monoclonal gammopathy of undetermined significance (MGUS),"People with monoclonal gammopathy often don't have symptoms. Some people have a rash or nerve problems, such as numbness or tingling. A blood test for another condition might findMGUSby chance."
Mononucleosis,"Signs and symptoms of mononucleosis may include:
If your symptoms don't get better on their own in a week or two, see your doctor.
Fatigue
Sore throat, perhaps misdiagnosed as strep throat, that doesn't get better after treatment with antibiotics
Fever
Swollen lymph nodes in your neck and armpits
Swollen tonsils
Headache
Skin rash
Soft, swollen spleen"
Mood disorders,"Symptoms depend on the type of mood disorder.
Affect your ability to focus and function.
Cause loss of pleasure in most or all activities.
Affect your energy level and quality of life.
Make you feel worthless or guilty.
Affect how much you eat and sleep.
Raise thoughts about suicide.
Bipolar disorders may feature:
Feeling on top of the world, superior to others, or that you're so strong that nothing can harm or change you.
Racing thoughts.
Increased energy.
Disrupted sleep, usually a decreased need for sleep, but a continued high energy level.
Impulsive behaviors.
You also could be easily distracted and more likely to think about suicide or plan for suicide, depending on the seriousness of symptoms.
Other types of mood disorders may include other symptoms."
Morning sickness,"Nausea, with or without vomiting, is common in pregnancy. Morning sickness is often brought on by smelling certain odors or eating certain foods.
Morning sickness is most common during the first three months of pregnancy. It typically starts before nine weeks. Symptoms usually improve by the middle or end of the second three months of pregnancy."
Morphea,"Signs and symptoms of morphea vary depending on the type and stage of the condition. They include:
Reddish or purplish oval patches of skin, often on the belly, chest or back
Patches that gradually develop a lighter or whitish center
Linear patches, especially on the arms or legs and possibly the forehead or scalp
A gradual change in the affected skin, which becomes firm, thickened, dry and shiny
Morphea affects the skin and underlying tissue and sometimes bone. The condition generally lasts several years and then improves or at times disappears by itself. It may leave scars or areas of darkened or discolored skin. It is possible for morphea to recur."
Morton's neuroma,"A feeling as if you're standing on a pebble in your shoe
A burning pain in the ball of your foot that may radiate into your toes
Tingling or numbness in your toes
In addition to these symptoms, you may find that removing your shoe and rubbing your foot often helps to relieve the pain."
Mosquito bites,"Mosquito bites often happen on parts of the body that aren't covered by clothing. Symptoms include:
An itchy, inflamed bump that forms a few minutes after a bite
A painful spot that looks like a hive and forms within 24 hours after a bite
Small blisters
A severe reaction to mosquito bites can cause:
A large, swollen, inflamed area
A hive-like rash
Swelling around the eyes
Children are more likely to have a severe reaction than are adults."
Mouth cancer,"Signs and symptoms of mouth cancer may include:
A lip or mouth sore that won't heal.
A white or reddish patch on the inside of the mouth.
Loose teeth.
A growth or lump inside the mouth.
Mouth pain.
Ear pain.
Difficult or painful swallowing."
Movement disorders,"Symptoms of movement disorders vary depending on the type of the disorder. Common types of movement disorders and their symptoms include:
Dystonia.This condition involves involuntary muscle contractions that cause twisting, irregular postures, or movements that occur again and again. Dystonia may affect the entire body or one part of the body.The most common type of dystonia in adults is cervical dystonia. In cervical dystonia, the neck muscles contract involuntarily. This causes the head to pull to one side or to tilt forward or backward. The head also may shake, known as a tremor.
Functional movement disorder.This condition may look like any of the movement disorders. But it's not caused by a disease of the nervous system, also known as a neurological disease. Functional movement disorders are treatable.
Myoclonus.Myoclonus are very quick jerks of a muscle.
Parkinson's disease.Parkinson's disease causes tremors, muscle stiffness, slow or decreased movement, or loss of balance. It also can cause symptoms not related to movement. These symptoms include a reduced sense of smell, constipation, acting out dreams and a decline in thinking skills. Parkinson's disease slowly gets worse over time.
Parkinsonism.Parkinsonism is a general term for slowness of movement along with stiffness, tremors or loss of balance. There are many different causes. Parkinson's disease and certain dopamine blocking medicines are the most common causes. Other causes include degenerative disorders such as multiple system atrophy and progressive supranuclear palsy. Stroke or repeated head trauma also can cause parkinsonism.
Progressive supranuclear palsy.This is a rare nervous system condition that causes problems with walking, balance and eye movements. It may resemble Parkinson's disease but is a distinct condition.
Tardive dyskinesia.This neurological condition is caused by long-term use of certain medicines used to treat mental health conditions, called neuroleptic medicines. It also can be caused by a common gastrointestinal medicine called metoclopramide (Reglan, Gimoti). Tardive dyskinesia causes involuntary movements that occur over and over. Symptoms include grimacing, eye blinking and other movements.
Tourette syndrome.This is a neurological condition associated with repetitive movements and vocal sounds called tics. Tics are voluntary movements, but they're caused by an involuntary urge to make the movements. Tourette syndrome starts between childhood and teenage years.
Tremor.This movement disorder causes rhythmic shaking of parts of the body, such as the hands, head or other body parts. The most common type is essential tremor."
MRSA infection,"Staph skin infections, includingMRSA, generally start as swollen, painful red bumps that might look like pimples or spider bites. The affected area might be:
infections start out as small red bumps that can quickly turn into deep, painful abscesses.
These red bumps can quickly turn into deep, painful boils (abscesses) that require surgical draining. Sometimes the bacteria remain confined to the skin. But they can also burrow deep into the body, causing potentially life-threatening infections in bones, joints, surgical wounds, the bloodstream, heart valves and lungs.
Warm to the touch
Full of pus or other drainage
Accompanied by a fever"
Multiple sclerosis,"Multiple sclerosis symptoms vary depending on the person. Symptoms may change over the course of the disease depending on which nerve fibers are affected.
Common symptoms include:
Numbness or tingling.
Electric-shock sensations that happen with certain neck movements, especially bending the neck forward. This sensation is called Lhermitte sign.
Lack of coordination.
Trouble with walking or not being able to walk at all.
Weakness.
Partial or complete loss of vision, usually in one eye at a time. Vision loss often happens with pain during eye movement.
Double vision.
Blurry vision.
Dizziness and a false sense that you or your surroundings are moving, known as vertigo.
Fatigue.
Slurred speech.
Troubles with memory, thinking and understanding information.
Mood changes.
Small increases in body temperature can temporarily worsen symptoms of MS. These aren't considered true disease relapses but pseudorelapses."
Multiple system atrophy,"Multiple system atrophy (MSA) symptoms affect many parts of the body. Symptoms start in adulthood, usually in the 50s or 60s.
There are two types of MSA: parkinsonian and cerebellar. The type depends on the symptoms a person has when diagnosed."
Kawasaki disease,"Symptoms of Kawasaki disease include a fever greater than 102.2 degrees Fahrenheit (39 degrees Celsius) for five or more days. And the child  has at least four of the following symptoms.
A rash on the main part of the body or in the genital area.
An enlarged lymph node in the neck.
Very red eyes without a thick discharge.
Red, dry, cracked lips and a red, swollen tongue.
Swollen, red skin on the palms of the hands and the soles of the feet. Later the skin on fingers and toes peels.
The symptoms might not happen at the same time. Let your child's healthcare professional know about a symptom that has gone away.
Other symptoms might include:
Belly pain.
Diarrhea.
Fussiness.
Joint pain.
Vomiting.
Some children get a high fever for five or more days but have fewer than four of the symptoms needed for a diagnosis of Kawasaki disease. They might have what's called incomplete Kawasaki disease. Children with incomplete Kawasaki disease are still at risk of damage to the heart arteries. They still need treatment within 10 days of when symptoms appear.
Kawasaki disease can have symptoms like those of a condition called multisystem inflammatory syndrome in children. The syndrome happens in children with COVID-19."
"Multiple endocrine neoplasia, type 1 (MEN 1)","Symptoms of multiple endocrine neoplasia, type 1 (MEN 1) can include the following:
Tiredness.
Bone pain or broken bones.
Kidney stones.
Ulcers in the stomach or intestines.
Stomach pain.
Muscle weakness.
Frequent diarrhea.
Symptoms are caused by the release of too many hormones in the body."
"Multiple endocrine neoplasia, type 1 (MEN 1)","Symptoms of multiple endocrine neoplasia, type 1 (MEN 1) can include the following:
Tiredness.
Bone pain or broken bones.
Kidney stones.
Ulcers in the stomach or intestines.
Stomach pain.
Muscle weakness.
Frequent diarrhea.
Symptoms are caused by the release of too many hormones in the body."
"Multiple endocrine neoplasia, type 2 (MEN 2)","Symptoms ofMEN 2depend on the type of tumor. People who haveMEN 2Bhave a unique appearance. They may have bumps on the tongue, lips and eyes. They tend to be tall and thin with long arms and legs. Following are symptoms that may be related to each tumor type.
Medullary thyroid cancer:
Lumps in the throat or neck
Trouble breathing or swallowing
Hoarseness
Diarrhea
Parathyroid hyperplasia, also known as primary hyperparathyroidism:
Muscle and joint pain
Constipation
Fatigue
Memory problems
Kidney stones
Adrenal tumors, also known as pheochromocytoma:
Rapid heart rate
Headaches"
Multiple myeloma,"Early in multiple myeloma, there might be no symptoms. When signs and symptoms happen, they can include:
Bone pain, especially in the spine, chest or hips.
Nausea.
Constipation.
Loss of appetite.
Mental fogginess or confusion.
Tiredness.
Infections.
Weight loss.
Weakness.
Thirst.
Needing to urinate often."
Multiple sclerosis,"Multiple sclerosis symptoms vary depending on the person. Symptoms may change over the course of the disease depending on which nerve fibers are affected.
Common symptoms include:
Numbness or tingling.
Electric-shock sensations that happen with certain neck movements, especially bending the neck forward. This sensation is called Lhermitte sign.
Lack of coordination.
Trouble with walking or not being able to walk at all.
Weakness.
Partial or complete loss of vision, usually in one eye at a time. Vision loss often happens with pain during eye movement.
Double vision.
Blurry vision.
Dizziness and a false sense that you or your surroundings are moving, known as vertigo.
Fatigue.
Slurred speech.
Troubles with memory, thinking and understanding information.
Mood changes.
Small increases in body temperature can temporarily worsen symptoms of MS. These aren't considered true disease relapses but pseudorelapses."
Multiple system atrophy,"Multiple system atrophy (MSA) symptoms affect many parts of the body. Symptoms start in adulthood, usually in the 50s or 60s.
There are two types of MSA: parkinsonian and cerebellar. The type depends on the symptoms a person has when diagnosed."
Mumps,"The first symptoms may be similar to flu symptoms such as:
Swelling of the salivary glands usually starts within a few days. Symptoms may include:
A common symptom of mumps is painful swelling on one or both sides of the face.
Fever.
Headache.
Muscle aches or pain.
Not wanting to eat.
Tiredness.
Swelling of one or both glands on the sides of the face.
Pain or tenderness around the swelling.
Less often, swelling of glands below the floor of the mouth."
Factitious disorder,"Factitious disorder symptoms involve people trying to look ill, making themselves ill or hurting themselves. They also may fake symptoms, make symptoms seem worse than they are or pretend they can't do certain things because of their symptoms so they can deceive others. People with the condition work hard to hide their lies. It may be hard to know that their symptoms are part of a serious mental health condition. People with this condition continue with the lies, even without any benefit or reward, or when faced with evidence that doesn't support their claims.
Factitious disorder symptoms may include:
Clever and convincing medical or mental health problems.
Deep knowledge of medical terms and diseases.
Vague symptoms or symptoms that aren't consistent.
Conditions that get worse for no clear reason.
Seeking treatment from many healthcare professionals or hospitals, which may include using a fake name.
Not wanting healthcare professionals to talk to family or friends or other healthcare professionals.
Staying in the hospital a lot.
Desire for frequent testing or risky surgeries and procedures.
Many surgical scars or evidence of many procedures.
Having few visitors when in the hospital.
Arguing with healthcare professionals and staff."
Muscle cramp,"Muscle cramps occur mostly in leg muscles, most often in the calf. Cramps usually last for seconds to minutes. After the cramp eases, the area might be sore for hours or days."
Muscle strains,"Signs and symptoms will vary, depending on the severity of the injury, and may include:
Pain or tenderness
Redness or bruising
Limited motion
Muscle spasms
Swelling
Muscle weakness"
